fold,arm,d,max_features,M_blocks,r2,mae
2017Q4,aug@0.80,15,0.8,9,0.9259890033411626,0.029562080143333332
2017Q4,aug@0.90,15,0.9,9,0.9262375004699218,0.029656238619999994
2017Q4,aug@1.00,15,1.0,9,0.9240441608785412,0.02984672392
2018Q1,base-7,7,1.0,8,0.9024661447449761,0.03600621872666667
2018Q1,DynET,15,0.5333333333333333,8,0.9079660078954628,0.034851439533333334
2018Q1,aug@0.10,15,0.1,8,0.8503688094244765,0.03968220512
2018Q1,aug@0.20,15,0.2,8,0.8986163203788413,0.035417904166666674
2018Q1,aug@0.30,15,0.3,8,0.9065957420603339,0.03480065404666667
2018Q1,aug@0.40,15,0.4,8,0.9056261805184627,0.03497652164000001
2018Q1,aug@0.50,15,0.5,8,0.9080809055140906,0.03488266197333335
2018Q1,aug@0.60,15,0.6,8,0.9094157433740061,0.03479582145333334
2018Q1,aug@0.70,15,0.7,8,0.9088077083318563,0.03485974756000001
2018Q1,aug@0.80,15,0.8,8,0.9063621828450033,0.03511442068000001
2018Q1,aug@0.90,15,0.9,8,0.9088652684020899,0.03489107732666667
2018Q1,aug@1.00,15,1.0,8,0.9103316506046998,0.03479027984666667
2018Q2,base-7,7,1.0,8,0.9413845355677465,0.03128031435333332
2018Q2,DynET,15,0.5333333333333333,8,0.9373847011850578,0.030929845866666653
2018Q2,aug@0.10,15,0.1,8,0.9017521888321546,0.038990103079999984
2018Q2,aug@0.20,15,0.2,8,0.9350678954207305,0.032003421273333325
2018Q2,aug@0.30,15,0.3,8,0.9367770831507825,0.031414171619999987
2018Q2,aug@0.40,15,0.4,8,0.933953047786481,0.031224671593333322
2018Q2,aug@0.50,15,0.5,8,0.9381252401896625,0.030882969639999994
2018Q2,aug@0.60,15,0.6,8,0.9379806520983314,0.03074719737999999
2018Q2,aug@0.70,15,0.7,8,0.9355197194255603,0.03102599918666666
2018Q2,aug@0.80,15,0.8,8,0.9357584844623092,0.030982209039999986
2018Q2,aug@0.90,15,0.9,8,0.9361039123072091,0.03077833035333332
2018Q2,aug@1.00,15,1.0,8,0.9373004946789822,0.030657492139999992
2018Q3,base-7,7,1.0,7,0.924198172213648,0.035390490986666655
2018Q3,DynET,15,0.4666666666666667,7,0.9317792848741697,0.031994734840000004
2018Q3,aug@0.10,15,0.1,7,0.8783167312603373,0.04046491098666665
2018Q3,aug@0.20,15,0.2,7,0.9275061529631472,0.03277342625333333
2018Q3,aug@0.30,15,0.3,7,0.928862937888456,0.03255419488666666
2018Q3,aug@0.40,15,0.4,7,0.9327612834627016,0.03151562779333333
2018Q3,aug@0.50,15,0.5,7,0.9317792848741697,0.031994734840000004
2018Q3,aug@0.60,15,0.6,7,0.9306120845842827,0.03177653228666666
2018Q3,aug@0.70,15,0.7,7,0.9296165620130009,0.03229931462
2018Q3,aug@0.80,15,0.8,7,0.9316398234810582,0.03221752374666666
2018Q3,aug@0.90,15,0.9,7,0.9296902775052521,0.032248465946666666
2018Q3,aug@1.00,15,1.0,7,0.9307905878197594,0.032389542313333325
2018Q4,base-7,7,1.0,7,0.826907675484203,0.06475138187333333
2018Q4,DynET,15,0.4666666666666667,7,0.8437600846366414,0.06270485875333334
2018Q4,aug@0.10,15,0.1,7,0.7982506719307945,0.06571914725333333
2018Q4,aug@0.20,15,0.2,7,0.8400260134234452,0.06287754856
2018Q4,aug@0.30,15,0.3,7,0.8429379936778788,0.06275791164
2018Q4,aug@0.40,15,0.4,7,0.8439049844809767,0.06268473144666667
2018Q4,aug@0.50,15,0.5,7,0.8437600846366414,0.06270485875333334
2018Q4,aug@0.60,15,0.6,7,0.8442271464444351,0.06256130166
2018Q4,aug@0.70,15,0.7,7,0.8450344290196067,0.06252476559333334
2018Q4,aug@0.80,15,0.8,7,0.8452591426840802,0.06264375018666667
2018Q4,aug@0.90,15,0.9,7,0.844355068669132,0.06273242736
2018Q4,aug@1.00,15,1.0,7,0.8431563951934692,0.06283880476666667
2019Q1,base-7,7,1.0,7,0.9299219857691896,0.03914770135666666
2019Q1,DynET,15,0.4666666666666667,7,0.9376461979325623,0.03581937805
2019Q1,aug@0.10,15,0.1,7,0.891511694063357,0.04141370716333333
2019Q1,aug@0.20,15,0.2,7,0.9358650343103376,0.034574511829999995
2019Q1,aug@0.30,15,0.3,7,0.9380398197165284,0.034488775283333335
2019Q1,aug@0.40,15,0.4,7,0.9371643681197314,0.03542466230333334
2019Q1,aug@0.50,15,0.5,7,0.9376461979325623,0.03581937805
2019Q1,aug@0.60,15,0.6,7,0.9360271575183242,0.03650178520333333
2019Q1,aug@0.70,15,0.7,7,0.9360232088541034,0.03676908076333334
2019Q1,aug@0.80,15,0.8,7,0.932710373843643,0.03751752521
2019Q1,aug@0.90,15,0.9,7,0.9350733135812968,0.03737240298333333
2019Q1,aug@1.00,15,1.0,7,0.9337984535856687,0.03775079176666666
2019Q2,base-7,7,1.0,7,0.9205298297414468,0.037335095166666665
2019Q2,DynET,15,0.4666666666666667,7,0.918606580268425,0.0372084161
2019Q2,aug@0.10,15,0.1,7,0.8862416135876735,0.039771710679999996
2019Q2,aug@0.20,15,0.2,7,0.917916046033376,0.0367758535
2019Q2,aug@0.30,15,0.3,7,0.9193340331154001,0.03675575906
2019Q2,aug@0.40,15,0.4,7,0.9186761393100855,0.037081138746666666
2019Q2,aug@0.50,15,0.5,7,0.918606580268425,0.0372084161
2019Q2,aug@0.60,15,0.6,7,0.9188527532784101,0.037391241879999995
2019Q2,aug@0.70,15,0.7,7,0.9182601888339891,0.03749382568666666
2019Q2,aug@0.80,15,0.8,7,0.9187939528664415,0.03749465094666667
2019Q2,aug@0.90,15,0.9,7,0.9182338039485162,0.037691622513333335
2019Q2,aug@1.00,15,1.0,7,0.9173074466255854,0.037784903960000005
2019Q3,base-7,7,1.0,7,0.9145753214108152,0.03169992496666666
2019Q3,DynET,15,0.4666666666666667,7,0.9207518975049391,0.030359827199999995
2019Q3,aug@0.10,15,0.1,7,0.8940195208356819,0.031811913909999996
2019Q3,aug@0.20,15,0.2,7,0.9207651293827829,0.029618571509999997
