fold,model,d,M_blocks,r2,mae,rmse,secs
2017Q4,Heston,7,9,-0.0019066649247059253,0.14816761858720004,0.23293674059808925,3.5936543330317363
2018Q1,Dynamic ET (ours),15,8,0.9139149238291752,0.03405463965999999,0.06743972278139292,5.53124724997906
2018Q1,ET,7,8,0.9092459835201784,0.034995472296666684,0.06924441804752923,2.980128832976334
2018Q1,RF,7,8,0.908832175993376,0.03546359479701659,0.06940210403086097,1.553270124946721
2018Q1,MLP,7,8,0.3819302213261536,0.11406492609180571,0.1807051778050042,0.8632971670012921
2018Q1,LSTM,7,8,-0.007873294922176699,0.1336888335639496,0.23075696132482315,5.933360665978398
2018Q1,GRU,7,8,0.016828604898491695,0.13053539400244268,0.22791161553517306,5.005544166022446
2018Q1,iTransformer,7,8,0.9093571870240285,0.033737768549676576,0.06920198145640202,76.43752674997086
2018Q1,SVI,7,8,0.781409812469858,0.06290934575369223,0.10746503233344912,3.5743641249719076
2018Q1,Heston,7,8,-7.441365473392914e-05,0.13966702172649514,0.22986243366761397,2.658604166994337
2018Q2,Dynamic ET (ours),15,8,0.937936458758364,0.030282104026666704,0.056335200933367344,3.16338949999772
2018Q2,ET,7,8,0.9344646879802921,0.030009649943333376,0.05788942786899377,2.951384207990486
2018Q2,RF,7,8,0.9359765825963853,0.03242145822041783,0.05721777921727507,1.596268749970477
2018Q2,MLP,7,8,-0.15601361573384254,0.20578754924968398,0.24313251711568176,0.7862333750235848
2018Q2,LSTM,7,8,-0.004134830547600998,0.14759748586483257,0.22659879054690804,5.849181915982626
2018Q2,GRU,7,8,0.022215742286741613,0.1460256546641769,0.22360581429256104,4.700725250004325
2018Q2,iTransformer,7,8,0.9397788595012927,0.0289372262175436,0.0554927260363315,82.14627916697646
2018Q2,SVI,7,8,0.7619561079371084,0.06723884425315052,0.11032910441759688,3.5663102089893073
2018Q2,Heston,7,8,-0.009143210825919734,0.15023981312185666,0.22716319746466734,2.667023833026178
2018Q3,Dynamic ET (ours),15,7,0.939567293416633,0.031316422936666685,0.05550630095230549,2.808214583026711
2018Q3,ET,7,7,0.9258675725855932,0.03499122128733334,0.06147667549793192,2.7527542079915293
2018Q3,RF,7,7,0.9347011420603593,0.032208898070447786,0.05769777373218668,1.5166162499808706
2018Q3,MLP,7,7,0.42049517347586507,0.10447535886602695,0.17188373890835548,0.775573874998372
2018Q3,LSTM,7,7,0.008095010434992389,0.14068681824499765,0.2248750644673978,5.779399000050034
2018Q3,GRU,7,7,0.029787264997806595,0.14135518140388742,0.22240254304594848,4.675347209034953
2018Q3,iTransformer,7,7,0.8982314605881567,0.04740601009423797,0.07202993687646933,82.0588994169957
2018Q3,SVI,7,7,0.7979835784930148,0.06289384416351612,0.10148447288423974,3.783812709036283
2018Q3,Heston,7,7,-0.009146758346660011,0.14841390817297495,0.22682108739572024,2.6963596250279807
2018Q4,Dynamic ET (ours),15,7,0.8458885186267247,0.062357740882666664,0.08693795617779283,2.893978333042469
2018Q4,ET,7,7,0.8308872458927554,0.06420777704466665,0.09107100093512674,2.7699333330383524
2018Q4,RF,7,7,0.8303711793358426,0.06563011718060624,0.09120985177842528,1.4508819159818813
2018Q4,MLP,7,7,0.1868257942753314,0.12747823724348722,0.19970260301833184,0.6465104580274783
2018Q4,LSTM,7,7,-0.04813889509411351,0.12238450841192627,0.22672601109387777,5.840569916996174
2018Q4,GRU,7,7,-0.023746721557356354,0.12059674644865036,0.22407230960050326,4.78365241602296
2018Q4,iTransformer,7,7,0.8371666295528933,0.06305763742972373,0.08936421294971625,76.14567770797294
2018Q4,SVI,7,7,0.6221078999328047,0.09202620633555768,0.13613689314751148,3.3878254169831052
2018Q4,Heston,7,7,-0.0312731138218616,0.1253673682034524,0.2248944698953814,2.6586730830022134
2019Q1,Dynamic ET (ours),15,7,0.9291436589524662,0.037347915353666675,0.06657193342102843,2.9306962080299854
2019Q1,ET,7,7,0.9231110427448194,0.04050927826866667,0.06934797672283076,2.8444893330452032
2019Q1,RF,7,7,0.9100659613149411,0.041578294521177346,0.0750004479968721,1.417097333993297
2019Q1,MLP,7,7,0.2652414357079813,0.11485113567768655,0.21437500010157762,0.7456455420469865
2019Q1,LSTM,7,7,0.01078028508151252,0.1466706235770378,0.24874146665695993,5.9134112920146435
2019Q1,GRU,7,7,0.03791864556601632,0.1462299165520795,0.24530573862442331,4.75784079200821
2019Q1,iTransformer,7,7,0.9100736512248551,0.04181933172888469,0.07499724143000151,81.4174400420161
2019Q1,SVI,7,7,0.7242723014421131,0.08049149671789471,0.13132336639899103,3.5958110420033336
2019Q1,Heston,7,7,-0.005920564681124674,0.1464357350562036,0.250832410967809,2.6625561250257306
2019Q2,Dynamic ET (ours),15,7,0.9206489961931044,0.036251585657333364,0.0691889418064013,2.8014492910006084
2019Q2,ET,7,7,0.9184341746166974,0.03664316059133337,0.07014788697515159,2.8243186670006253
2019Q2,RF,7,7,0.9153353324736428,0.037341429353629975,0.07146799190663584,1.4314676250214688
2019Q2,MLP,7,7,0.3366873607101497,0.10690408167074757,0.20004127424748813,0.7128836670308374
2019Q2,LSTM,7,7,0.010176944605604477,0.14035808568381247,0.2443651439715011,5.676289166964125
2019Q2,GRU,7,7,0.035930369606923085,0.1353272672665596,0.24116522080060157,4.537626417004503
2019Q2,iTransformer,7,7,0.9153516374173267,0.03797181574275144,0.0714611098286337,81.34570970904315
2019Q2,SVI,7,7,0.7721955153721041,0.06729348328582863,0.11723076814129833,3.484158125007525
2019Q2,Heston,7,7,-0.0018524394143246692,0.14155520113146444,0.24584555242996298,2.68833083298523
2019Q3,Dynamic ET (ours),15,7,0.9276793392935597,0.02997203496833335,0.05410158152763606,2.946661999973003
2019Q3,ET,7,7,0.923895746173601,0.031045286672000006,0.05549875418911588,2.8555444160010666
2019Q3,RF,7,7,0.9284388945800645,0.029432096896125255,0.05381672787411932,1.4478262080228887
2019Q3,MLP,7,7,0.012922913992085117,0.1430339389839007,0.19987307932640838,0.8000365420011804
2019Q3,LSTM,7,7,0.004883122543925311,0.1274500552658145,0.200685416583572,6.0175432919641025
2019Q3,GRU,7,7,0.029525511350555478,0.12163095009018517,0.19818502233623808,4.745608833967708
2019Q3,iTransformer,7,7,0.9226102292887138,0.029700498173536618,0.05596552063322172,100.22717795794597
2019Q3,SVI,7,7,0.7547381821338084,0.059045705868513175,0.09963082802580463,4.552207958011422
2019Q3,Heston,7,7,-0.00029091756638965904,0.12688323622145373,0.20120646501683848,3.21929345902754
2019Q4,Dynamic ET (ours),15,7,0.9141615713095856,0.03320434062566664,0.06242112953362618,4.9961735410033725
2019Q4,ET,7,7,0.9141508081068811,0.03270695809499999,0.06242504287536067,3.5445740839932114
2019Q4,RF,7,7,0.9174510154858916,0.033968914058485566,0.061213415331764595,1.4151092920219526
2019Q4,MLP,7,7,-0.6204556074109022,0.2183284488806355,0.27121225680810496,0.7806384160066955
2019Q4,LSTM,7,7,0.00915367981540538,0.12802347135611913,0.21207715756910633,5.841184584016446
2019Q4,GRU,7,7,0.012109315284710154,0.1248815004038709,0.21176061458026157,4.679567417013459
2019Q4,iTransformer,7,7,0.9071505489789324,0.03802600392422549,0.064920284403927,106.81553712498862
2019Q4,SVI,7,7,0.7596962378848013,0.06398707178584381,0.10444100171859651,4.315550042025279
2019Q4,Heston,7,7,-0.002621133705586587,0.1346108873238486,0.21333355518284708,3.5695487919729203
2020Q1,Dynamic ET (ours),15,7,0.6320320598156037,0.09775645245066668,0.1602289019124342,5.296513957960997
2020Q1,ET,7,7,0.6007216270851319,0.10213968065000006,0.166906695583227,5.645532833004836
2020Q1,RF,7,7,0.6241080285355953,0.09971977153268162,0.1619449428039603,2.876840584038291
2020Q1,MLP,7,7,-2.3887533958474783,0.43721730702315237,0.48624578358230747,0.9444745410000905
2020Q1,LSTM,7,7,-0.1401868214915003,0.16398059908833565,0.2820485517309166,21.108439166040625
2020Q1,GRU,7,7,-0.14449036202857135,0.16311025348386957,0.28258033483679534,17.439573375042528
2020Q1,iTransformer,7,7,0.5957446402895067,0.11063446701965236,0.16794371618010512,157.96096574998228
2020Q1,SVI,7,7,0.5175473921782341,0.119166175473105,0.1834692115699986,5.12275724997744
2020Q1,Heston,7,7,-0.11779173761804484,0.1669136459685724,0.2792648737474478,4.120479084027465
2020Q2,Dynamic ET (ours),15,7,0.8862312640923662,0.06091069515666667,0.09235895314647512,6.3303691250039265
2020Q2,ET,7,7,0.8815764760771473,0.06098300867266665,0.09422942163588054,6.175119874998927
2020Q2,RF,7,7,0.8825423073552758,0.06194456729419591,0.0938443796984032,3.1500387499690987
2020Q2,MLP,7,7,-0.302861530092396,0.26182103411446495,0.3125479579561173,0.9080259169568308
2020Q2,LSTM,7,7,-0.041280308912530206,0.1500967479221789,0.27941605924626023,24.930916749988683
2020Q2,GRU,7,7,-0.031668928295086385,0.14643389065088783,0.278123515808756,27.723625499987975
2020Q2,iTransformer,7,7,0.8787036023675524,0.06393044947651386,0.0953655432087372,164.9284281670116
2020Q2,SVI,7,7,0.7753773520298701,0.07933457703969155,0.12977597688658873,5.853718583995942
2020Q2,Heston,7,7,-0.10686493540496533,0.14817363755765542,0.2880811553950693,4.2365747499861754
2020Q3,Dynamic ET (ours),15,7,0.7496315150089418,0.09319133462266672,0.13273239262103181,6.387145332992077
2020Q3,ET,7,7,0.7589584684796513,0.0902332687400001,0.1302365944545069,6.173868915997446
2020Q3,RF,7,7,0.7199481539619303,0.09708562201594999,0.14038034720273945,3.211222041049041
2020Q3,MLP,7,7,-1.575774917466891,0.3531477973530949,0.42573665854989323,1.0233662079554051
2020Q3,LSTM,7,7,-0.1744142396744044,0.1552278454121488,0.28747345363898924,31.010566957993433
2020Q3,GRU,7,7,-0.09753550130140454,0.14568022096204694,0.27790501296067993,28.05457325000316
2020Q3,iTransformer,7,7,0.7243945769318861,0.09865854495104026,0.13926146892176797,175.08329762500944
2020Q3,SVI,7,7,0.6278163416578,0.10735883308959611,0.16183249975594663,6.6037787909735925
2020Q3,Heston,7,7,-0.37242185689612284,0.17500433029023932,0.31076414486576237,4.30676800000947
2020Q4,Dynamic ET (ours),15,8,0.7329924764609901,0.0893411636140002,0.12058974595922045,7.050430125033017
2020Q4,ET,7,8,0.7002449344636368,0.09610251257000027,0.1277708830623582,6.369582542043645
2020Q4,RF,7,8,0.7014565830373156,0.09547198108411212,0.1275123883996242,3.3222968330373988
2020Q4,MLP,7,8,0.3132269104009694,0.12589697473210043,0.19339946377972397,0.9019302920205519
2020Q4,LSTM,7,8,0.005830461461506564,0.1337026632062111,0.2326906093812088,33.69067633402301
2020Q4,GRU,7,8,0.008187785264917369,0.14357541509742483,0.23241457363631898,28.553404334001243
2020Q4,iTransformer,7,8,0.7767892321289561,0.0802232567788035,0.11025700764193926,102.2576347909635
2020Q4,SVI,7,8,0.731713090196113,0.07647663320547382,0.12087830804172797,5.1980469999834895
2020Q4,Heston,7,8,-0.23852643750971247,0.12739183480370955,0.2597175345796804,3.5647908330429345
