ticker,fold,model,region,n,r2,mae
TSLA,2020Q2,BF-varsel,ATM,1015,-0.06231666742797115,0.10423980780295575
TSLA,2020Q2,BF-varsel,ITM,1650,-0.28195056213646397,0.11063781844242418
TSLA,2020Q2,BF-varsel,deep_ITM,5203,0.7136190995922409,0.11168807962617733
TSLA,2020Q2,BF-corr,deep_OTM,5166,0.7727945677433599,0.08569638992693418
TSLA,2020Q2,BF-corr,OTM,1966,-0.013320228683082913,0.09660543754016769
TSLA,2020Q2,BF-corr,ATM,1015,-0.051311341371270025,0.10283648285037436
TSLA,2020Q2,BF-corr,ITM,1650,-0.2366850912168872,0.10858714719214776
TSLA,2020Q2,BF-corr,deep_ITM,5203,0.7102465503225066,0.11274428966026052
TSLA,2020Q3,Dynamic ET,deep_OTM,5022,0.325026334375363,0.15703396406610903
TSLA,2020Q3,Dynamic ET,OTM,2125,-1.299791018453052,0.21359360393411747
TSLA,2020Q3,Dynamic ET,ATM,1024,-1.376780167327953,0.2269705016796873
TSLA,2020Q3,Dynamic ET,ITM,1699,-1.2690083504744152,0.21733639871689195
TSLA,2020Q3,Dynamic ET,deep_ITM,5130,0.491029444995535,0.1658648968031188
TSLA,2020Q3,ET-aug,deep_OTM,5022,0.3155283542276247,0.1581568752230186
TSLA,2020Q3,ET-aug,OTM,2125,-1.3333074853001077,0.21504536238117622
TSLA,2020Q3,ET-aug,ATM,1024,-1.42080380230274,0.22873168460937476
TSLA,2020Q3,ET-aug,ITM,1699,-1.3006980953195706,0.21857090683931701
TSLA,2020Q3,ET-aug,deep_ITM,5130,0.4857806347331425,0.1668182608908381
TSLA,2020Q3,BF-varsel,deep_OTM,5022,0.3278054730866139,0.15687521557115358
TSLA,2020Q3,BF-varsel,OTM,2125,-1.2284935019420944,0.21062240077176445
TSLA,2020Q3,BF-varsel,ATM,1024,-1.3064182606385026,0.2243658982324216
TSLA,2020Q3,BF-varsel,ITM,1699,-1.2276269600307703,0.2160916019864622
TSLA,2020Q3,BF-varsel,deep_ITM,5130,0.49111965075052544,0.16530232342884985
TSLA,2020Q3,BF-corr,deep_OTM,5022,0.31304370216214983,0.1580366120859938
TSLA,2020Q3,BF-corr,OTM,2125,-1.138790711314516,0.20514011179817201
TSLA,2020Q3,BF-corr,ATM,1024,-1.2920350871065134,0.22107026517176975
TSLA,2020Q3,BF-corr,ITM,1699,-1.2193432768037247,0.2166540310103427
TSLA,2020Q3,BF-corr,deep_ITM,5130,0.4720414463906646,0.16749742212013027
TSLA,2020Q4,Dynamic ET,deep_OTM,5472,0.6157553796590394,0.09713866060672516
TSLA,2020Q4,Dynamic ET,OTM,1747,-0.9037597805904374,0.12221875949627951
TSLA,2020Q4,Dynamic ET,ATM,765,-1.3755382117171937,0.15548057233986937
TSLA,2020Q4,Dynamic ET,ITM,1487,-1.161569441942428,0.1346954216341628
TSLA,2020Q4,Dynamic ET,deep_ITM,5529,0.6119194700507056,0.12105961981009228
TSLA,2020Q4,ET-aug,deep_OTM,5472,0.5953476209024209,0.10104571906981
TSLA,2020Q4,ET-aug,OTM,1747,-1.0130018835261239,0.1257717396279339
TSLA,2020Q4,ET-aug,ATM,765,-1.5527162921501487,0.16090438593464068
TSLA,2020Q4,ET-aug,ITM,1487,-1.427850421902042,0.1421851799327505
TSLA,2020Q4,ET-aug,deep_ITM,5529,0.594782874087878,0.1243494001555435
TSLA,2020Q4,BF-varsel,deep_OTM,5472,0.616924461740271,0.09697294526864034
