ticker,fold,model,M_blocks,d,n_train,n_test,r2,mae,rmse,fit_s
AAPL,2018Q1,GRU,8,7,30000,15000,0.9026447370640649,0.03551198858796502,0.07171855973351568,120.9937466659976
AAPL,2018Q1,iTransformer,8,7,30000,15000,0.9093571870240285,0.033737768549676576,0.06920198145640202,83.69427058400106
AAPL,2018Q1,FT-Transformer,8,7,30000,15000,0.9065658600965986,0.034817479913678485,0.07025943263452815,114.94396425000014
AAPL,2018Q2,MLP,8,7,30000,15000,0.9100422057271438,0.0354452406000112,0.06782362074141932,2.544866832999105
AAPL,2018Q2,LSTM,8,7,30000,15000,0.9247762373415364,0.03273722702096017,0.06202104765875794,190.7099366250004
AAPL,2018Q2,GRU,8,7,30000,15000,0.9382085739811957,0.02778947891457621,0.056211565498867265,128.90621754200038
AAPL,2018Q2,iTransformer,8,7,30000,15000,0.9397788595012927,0.0289372262175436,0.0554927260363315,84.09255120799935
AAPL,2018Q2,FT-Transformer,8,7,30000,15000,0.9390583362394154,0.031006438927785235,0.05582371372631063,115.2671083330024
AAPL,2018Q3,MLP,7,7,30000,15000,0.8030438364252417,0.06516518799176461,0.10020538281862504,2.6199142499972368
AAPL,2018Q3,LSTM,7,7,30000,15000,0.8758088250178756,0.05040907891598511,0.0795704165164301,143.70696095899984
AAPL,2018Q3,GRU,7,7,30000,15000,0.9139485634748671,0.04126105400583045,0.06623466220812631,131.12566737499947
AAPL,2018Q3,iTransformer,7,7,30000,15000,0.8982314605881567,0.04740601009423797,0.07202993687646933,82.33686875000058
AAPL,2018Q3,FT-Transformer,7,7,30000,15000,0.901154867361306,0.04700939336761729,0.07098783115672103,98.28468545799842
AAPL,2018Q4,MLP,7,7,30000,15000,0.7808577842808039,0.07470644982862082,0.10367044264148709,1.3147051669984648
AAPL,2018Q4,LSTM,7,7,30000,15000,0.814941193691448,0.06673520125693322,0.09526794710848535,62.47892029099967
AAPL,2018Q4,GRU,7,7,30000,15000,0.8214930239803481,0.06568549118435796,0.09356631488388,57.557317499999044
AAPL,2018Q4,iTransformer,7,7,30000,15000,0.8371666295528933,0.06305763742972373,0.08936421294971625,68.00271262500246
AAPL,2018Q4,FT-Transformer,7,7,30000,15000,0.8331881822185403,0.0667322952438364,0.09044932623700776,93.52259933299865
AAPL,2019Q1,MLP,7,7,30000,15000,0.8804115651044931,0.050370266606765815,0.0864861172699779,1.8014014590007719
AAPL,2019Q1,LSTM,7,7,30000,15000,0.9127439204582426,0.04125380667369207,0.07387536798184122,61.265738292000606
AAPL,2019Q1,GRU,7,7,30000,15000,0.9159988938581471,0.04139232136460177,0.0724843604966827,56.68210841700056
AAPL,2019Q1,iTransformer,7,7,30000,15000,0.9100736512248551,0.04181933172888469,0.07499724143000151,68.37988233299984
AAPL,2019Q1,FT-Transformer,7,7,30000,15000,0.9200217203702974,0.03928193647305488,0.070727423585715,92.98066420800023
AAPL,2019Q2,MLP,7,7,30000,15000,0.8877672361624297,0.048615869637534045,0.08228493016694889,2.091131042001507
AAPL,2019Q2,LSTM,7,7,30000,15000,0.914268855157631,0.03899087840421486,0.07191670606015066,59.63390983299905
AAPL,2019Q2,GRU,7,7,30000,15000,0.9151499478207044,0.03828384712199497,0.07154619350205074,56.830739000000904
AAPL,2019Q2,iTransformer,7,7,30000,15000,0.9153516374173267,0.03797181574275144,0.0714611098286337,67.88211212500028
AAPL,2019Q2,FT-Transformer,7,7,30000,15000,0.919451694688014,0.03888131020466805,0.06970897223547677,92.41268754200064
AAPL,2019Q3,MLP,7,7,30000,15000,0.9065473407697098,0.034017132381501516,0.061499926993824706,1.629589666998072
AAPL,2019Q3,LSTM,7,7,30000,15000,0.9283745088966064,0.029981999456684748,0.053840932696966035,59.72268370799793
AAPL,2019Q3,GRU,7,7,30000,15000,0.9295124527681117,0.02979237352044582,0.05341152370925837,56.041991209000116
AAPL,2019Q3,iTransformer,7,7,30000,15000,0.9226102292887138,0.029700498173536618,0.05596552063322172,67.90658179200182
AAPL,2019Q3,FT-Transformer,7,7,30000,15000,0.9172943021863511,0.029578699611246744,0.05785574408207711,91.80582758300079
AAPL,2019Q4,MLP,7,7,30000,15000,0.6986122448343279,0.07859261283459801,0.11696435909515594,2.0340455829973507
AAPL,2019Q4,LSTM,7,7,30000,15000,0.78634030907241,0.0473742003925155,0.0984809073941762,68.25096308299908
AAPL,2019Q4,GRU,7,7,30000,15000,0.8217919934567539,0.04535145260705789,0.08994030368924878,73.00900708300105
AAPL,2019Q4,iTransformer,7,7,30000,15000,0.9071505489789324,0.03802600392422549,0.064920284403927,67.41727512500074
AAPL,2019Q4,FT-Transformer,7,7,30000,15000,0.9147718885576568,0.034648285180483816,0.062198824373035165,93.74650179200034
AAPL,2020Q1,MLP,7,7,30000,15000,0.5534174438902673,0.10800613610258719,0.17651708345618822,2.576521708000655
AAPL,2020Q1,LSTM,7,7,30000,15000,0.5317722014350357,0.11613766949770706,0.18074423857511007,60.436536749999505
AAPL,2020Q1,GRU,7,7,30000,15000,0.5552499107274357,0.11327127053430334,0.17615455899608623,56.893882625001424
AAPL,2020Q1,iTransformer,7,7,30000,15000,0.5957446402895067,0.11063446701965236,0.16794371618010512,67.79819999999745
AAPL,2020Q1,FT-Transformer,7,7,30000,15000,0.5780458337518557,0.11463555725414656,0.17158072761678914,92.76975062499696
AAPL,2020Q2,MLP,7,7,30000,15000,0.8333058701746818,0.07581371944372282,0.11179636644777194,2.737917207999999
AAPL,2020Q2,LSTM,7,7,30000,15000,0.8637838668042069,0.06885375744585959,0.10106058531787529,60.690244874997006
AAPL,2020Q2,GRU,7,7,30000,15000,0.8684274989711895,0.06709205308623313,0.09932306214977904,56.57032845900176
AAPL,2020Q2,iTransformer,7,7,30000,15000,0.8787036023675524,0.06393044947651386,0.0953655432087372,68.01253724999697
AAPL,2020Q2,FT-Transformer,7,7,30000,15000,0.8843602138188836,0.06256640267933973,0.09311532756494244,93.61785633299951
AAPL,2020Q3,MLP,7,7,30000,15000,0.3918271474145024,0.1484356858658037,0.20687147333629008,3.117518375001964
AAPL,2020Q3,LSTM,7,7,30000,15000,0.5952463852696476,0.09364010419962755,0.1687650297591338,60.03542983300213
AAPL,2020Q3,GRU,7,7,30000,15000,-1.1640407840968736,0.16947524938710243,0.3902292444001067,56.83482766599991
AAPL,2020Q3,iTransformer,7,7,30000,15000,0.7243945769318861,0.09865854495104026,0.13926146892176797,68.16194483399886
AAPL,2020Q3,FT-Transformer,7,7,30000,15000,0.704534795652509,0.10214188282506942,0.14419170060502426,92.76372629199977
AAPL,2020Q4,MLP,8,7,30000,15000,0.7661615180955975,0.08019723433794917,0.11285131454679356,2.4486890000007406
AAPL,2020Q4,LSTM,8,7,30000,15000,0.7557886272046102,0.08568905736032104,0.11532715361213666,61.263822708999214
AAPL,2020Q4,GRU,8,7,30000,15000,0.7556874620805487,0.08598722978658868,0.11535103840841006,57.66843383300147
AAPL,2020Q4,iTransformer,8,7,30000,15000,0.7767892321289561,0.0802232567788035,0.11025700764193926,67.79623150000043
AAPL,2020Q4,FT-Transformer,8,7,30000,15000,0.7780290115817878,0.07755299020107206,0.10995038105476683,92.65249112500169
NVDA,2021Q1,MLP,9,7,30000,15000,0.8492812020571276,0.06452875942574511,0.10995700655782008,2.363825000000361
NVDA,2021Q1,LSTM,9,7,30000,15000,0.8823209618940633,0.057871759619428,0.09716027878400732,60.31629741600045
NVDA,2021Q1,GRU,9,7,30000,15000,0.8783079847388346,0.05834485624812762,0.09880302445197733,56.41508420900209
NVDA,2021Q1,iTransformer,9,7,30000,15000,0.9015281604456061,0.05617445104706128,0.08887819434382457,68.01721479199841
NVDA,2021Q1,FT-Transformer,9,7,30000,15000,0.9030906399079838,0.05638053066213671,0.08817024757639533,93.22319300000163
NVDA,2021Q2,MLP,8,7,30000,15000,0.36719151616808954,0.1709988546860503,0.2074716589440464,1.9714816249979776
NVDA,2021Q2,LSTM,8,7,30000,15000,0.7195526211156664,0.09972678033305804,0.13811737819396253,61.01401008299945
