fold,region,arm,n,M_blocks,r2,mae
2017Q2,deep_ITM,aug@1.00,2215,9,0.875311685216835,0.057381205748683224
2017Q2,deep_ITM,DynET,2215,9,0.8710095229612018,0.0576701090744921
2017Q3,deep_OTM,base-7,3453,9,0.9693929458297887,0.024214082401776214
2017Q3,deep_OTM,aug@1.00,3453,9,0.9683288334933835,0.024017878636934054
2017Q3,deep_OTM,DynET,3453,9,0.9681635065060714,0.023556344512018518
2017Q3,OTM,base-7,1836,9,0.45242564909604177,0.030541782425562814
2017Q3,OTM,aug@1.00,1836,9,0.393293326454234,0.030836903086419745
2017Q3,OTM,DynET,1836,9,0.43277007783717514,0.03045515090777051
2017Q3,ATM,base-7,869,9,-1.0973117305278048,0.037782653317990036
2017Q3,ATM,aug@1.00,869,9,-1.1030496037325714,0.037742506482546984
2017Q3,ATM,DynET,869,9,-1.1164690116862261,0.03777954330648254
2017Q3,ITM,base-7,1725,9,0.7165558838906887,0.03389180085024156
2017Q3,ITM,aug@1.00,1725,9,0.7117967315994511,0.033939352579710154
2017Q3,ITM,DynET,1725,9,0.7242944507594504,0.033509305391304346
2017Q3,deep_ITM,base-7,2117,9,0.8784048527238874,0.05688585769170208
2017Q3,deep_ITM,aug@1.00,2117,9,0.8744113702012251,0.05778683013698628
2017Q3,deep_ITM,DynET,2117,9,0.8814807644826944,0.05661471695795937
2017Q4,deep_OTM,base-7,3420,9,0.9826464838496888,0.015963835808966848
2017Q4,deep_OTM,aug@1.00,3420,9,0.986691092688013,0.014753128713450291
2017Q4,deep_OTM,DynET,3420,9,0.9866656054036133,0.014928377446393748
2017Q4,OTM,base-7,1803,9,0.6683499792347434,0.023914077518949882
2017Q4,OTM,aug@1.00,1803,9,0.689265295477937,0.023127573488630062
2017Q4,OTM,DynET,1803,9,0.6913772433445675,0.02307170493621741
2017Q4,ATM,base-7,831,9,0.03879331941679531,0.034473428078620125
2017Q4,ATM,aug@1.00,831,9,0.037463853959398996,0.03471296117127958
2017Q4,ATM,DynET,831,9,0.06146759993280926,0.034226599117529066
2017Q4,ITM,base-7,1592,9,0.770231682728467,0.028547392336683408
2017Q4,ITM,aug@1.00,1592,9,0.7670665037070712,0.028635602386934664
2017Q4,ITM,DynET,1592,9,0.7764023777307263,0.02848480525544389
2017Q4,deep_ITM,base-7,2354,9,0.8709634273890349,0.05787232319456246
2017Q4,deep_ITM,aug@1.00,2354,9,0.8844889526441709,0.05602301370716512
2017Q4,deep_ITM,DynET,2354,9,0.886967724840774,0.05552406451430191
2018Q1,deep_OTM,base-7,3348,8,0.9648031621025241,0.02291273813221826
2018Q1,deep_OTM,aug@1.00,3348,8,0.97915737223871,0.019597435404221434
2018Q1,deep_OTM,DynET,3348,8,0.9764774357726369,0.019613633094384714
2018Q1,OTM,base-7,1759,8,0.5849727020335294,0.02833394303581579
2018Q1,OTM,aug@1.00,1759,8,0.5702743635935495,0.028441641766155008
2018Q1,OTM,DynET,1759,8,0.5488322654155591,0.028762907409512976
2018Q1,ATM,base-7,826,8,-0.1802392679382303,0.03675909644874899
2018Q1,ATM,aug@1.00,826,8,-0.1675234633832774,0.03628761743341404
2018Q1,ATM,DynET,826,8,-0.23015814220623065,0.03632097610976593
2018Q1,ITM,base-7,1593,8,0.7243858418589724,0.03017464314710191
2018Q1,ITM,aug@1.00,1593,8,0.7120892252838165,0.03106609265536724
2018Q1,ITM,DynET,1593,8,0.7150801561814291,0.030694279640092074
2018Q1,deep_ITM,base-7,2474,8,0.86627831348703,0.06268379708973323
2018Q1,deep_ITM,aug@1.00,2474,8,0.8739190757257854,0.06176227941255726
2018Q1,deep_ITM,DynET,2474,8,0.8717919687663659,0.06198742274319593
2018Q2,deep_OTM,base-7,3519,8,0.9806638081950296,0.021462272160651687
2018Q2,deep_OTM,aug@1.00,3519,8,0.986140827415329,0.018790675286539726
2018Q2,deep_OTM,DynET,3519,8,0.9858290374370935,0.019169458444633875
2018Q2,OTM,base-7,1730,8,0.7054025446746364,0.025636087360308275
2018Q2,OTM,aug@1.00,1730,8,0.7057204491203652,0.02515582944123314
2018Q2,OTM,DynET,1730,8,0.6941114693576832,0.025662932485549135
2018Q2,ATM,base-7,847,8,0.4486620184589336,0.0265427750491932
2018Q2,ATM,aug@1.00,847,8,0.44733445387358406,0.027284305706414796
2018Q2,ATM,DynET,847,8,0.4209656859063253,0.028191057772530496
2018Q2,ITM,base-7,1616,8,0.7941027620692334,0.0305830665841584
2018Q2,ITM,aug@1.00,1616,8,0.7991109624801589,0.03022644463696369
2018Q2,ITM,DynET,1616,8,0.7975798531352152,0.030679948391089104
2018Q2,deep_ITM,base-7,2288,8,0.9194679708706627,0.05289467246503495
2018Q2,deep_ITM,aug@1.00,2288,8,0.909103343845378,0.05462203175990675
2018Q2,deep_ITM,DynET,2288,8,0.9098652667527578,0.054190401515151504
2018Q3,deep_OTM,base-7,3346,7,0.968114784885559,0.025150997051205423
2018Q3,deep_OTM,aug@1.00,3346,7,0.9779371762848049,0.02139105174337517
2018Q3,deep_OTM,DynET,3346,7,0.9774383949173854,0.02118075987248456
2018Q3,OTM,base-7,1933,7,0.5394295015203479,0.02961097730643214
2018Q3,OTM,aug@1.00,1933,7,0.5978863350324387,0.02748028949818934
2018Q3,OTM,DynET,1933,7,0.6117633922043457,0.026751344024831866
2018Q3,ATM,base-7,998,7,-0.29204464062520974,0.03524258797595188
2018Q3,ATM,aug@1.00,998,7,-0.30813007672209425,0.035297150434201716
2018Q3,ATM,DynET,998,7,-0.21914354379520518,0.03372567601870406
2018Q3,ITM,base-7,1627,7,0.7122686527521463,0.034114919893464456
2018Q3,ITM,aug@1.00,1627,7,0.7903656186434425,0.02963786400327801
2018Q3,ITM,DynET,1627,7,0.7926393542023933,0.02911533321040771
2018Q3,deep_ITM,base-7,2096,7,0.8939138661747208,0.058127183746819314
2018Q3,deep_ITM,aug@1.00,2096,7,0.8974705004558984,0.05522624214376589
2018Q3,deep_ITM,DynET,2096,7,0.8986701054881567,0.05550443991730279
2018Q4,deep_OTM,base-7,3649,7,0.8929394205934867,0.04533533422855577
2018Q4,deep_OTM,aug@1.00,3649,7,0.9162810846444908,0.04328048919338631
2018Q4,deep_OTM,DynET,3649,7,0.9180546724029923,0.04288979813647575
2018Q4,OTM,base-7,1642,7,-0.48586309972759945,0.07144330219244825
2018Q4,OTM,aug@1.00,1642,7,-0.3191573069948517,0.0681093203410475
2018Q4,OTM,DynET,1642,7,-0.34437578983209827,0.06860668867235079
2018Q4,ATM,base-7,886,7,-1.6112667596671906,0.08806423513920245
2018Q4,ATM,aug@1.00,886,7,-1.3424644217321546,0.08435226538750941
2018Q4,ATM,DynET,886,7,-1.352129865660452,0.08465012279909709
2018Q4,ITM,base-7,1601,7,0.22295220110381075,0.07369652209036019
2018Q4,ITM,aug@1.00,1601,7,0.25420291850323307,0.07286662515094733
2018Q4,ITM,DynET,1601,7,0.25406471167952893,0.07290034141161773
2018Q4,deep_ITM,base-7,2222,7,0.8742348391489252,0.07595060204020403
2018Q4,deep_ITM,aug@1.00,2222,7,0.8808025038218541,0.07525943501350137
