ticker,fold,model,r2,mae,rmse,fit_s,M_blocks,d,search_s,params
NVDA,2022Q1,Dynamic ET,0.7364198557281396,0.08734242751666674,0.1279227225738449,3.2842967079996015,7,15,0.0,
NVDA,2022Q2,Dynamic ET (tuned),0.7256365610582984,0.11154997254047087,0.14953163003526304,3.0807159160031006,7,15,23.432623625005363,"{'tau': 0.8, 'leaf': 1, 'depth': 24, 'split': 2}"
NVDA,2022Q2,Dynamic ET,0.7259459631636884,0.11143255823133337,0.14944729217273603,3.229011707997415,7,15,0.0,
NVDA,2022Q3,Dynamic ET (tuned),0.9309506311329618,0.04108153794730887,0.07235577494407093,1.4373300000006566,6,15,23.203420999998343,"{'tau': 0.7, 'leaf': 5, 'depth': 24, 'split': 2}"
NVDA,2022Q3,Dynamic ET,0.9227718180952075,0.044929141212000104,0.07652110767877185,3.2391789999965113,7,15,0.0,
NVDA,2022Q4,Dynamic ET (tuned),0.9155494560979546,0.04625135457658063,0.07583717261821617,1.683956708999176,6,15,23.973645833000774,"{'tau': 0.5, 'leaf': 3, 'depth': 24, 'split': 5}"
NVDA,2022Q4,Dynamic ET,0.9087706579434889,0.046992849677333345,0.07882213226237596,3.3000685410006554,7,15,0.0,
QQQ,2022Q1,Dynamic ET (tuned),0.769793150706332,0.05313759435780521,0.07559571865828964,1.9431769590009935,6,15,21.075155874998018,"{'tau': 0.7, 'leaf': 1, 'depth': 24, 'split': 5}"
QQQ,2022Q1,Dynamic ET,0.7715452690791752,0.053193129682000025,0.07530748736119254,2.752983624995977,6,15,0.0,
QQQ,2022Q2,Dynamic ET (tuned),0.8234519130156173,0.048216835561055556,0.07941764909671703,2.4989332090044627,8,15,20.975253208998765,"{'tau': 0.9, 'leaf': 1, 'depth': None, 'split': 5}"
QQQ,2022Q2,Dynamic ET,0.8246894272032064,0.04834270578400004,0.07913882053581196,2.9305160000003525,6,15,0.0,
QQQ,2022Q3,Dynamic ET (tuned),0.8806965490899333,0.03539256370165308,0.0630585786161651,2.0453594170030556,6,15,21.63766579199728,"{'tau': 0.6, 'leaf': 1, 'depth': 24, 'split': 5}"
QQQ,2022Q3,Dynamic ET,0.8789097649839499,0.03557344518066663,0.06352903160059972,3.1989965419998043,7,15,0.0,
QQQ,2022Q4,Dynamic ET (tuned),0.906280814215265,0.03683018255331008,0.060439588362832905,2.1772098330038716,7,15,22.436360084000626,"{'tau': 0.75, 'leaf': 2, 'depth': 24, 'split': 2}"
QQQ,2022Q4,Dynamic ET,0.9070927078844013,0.03699670946866665,0.060177223423180305,3.2845505000004778,7,15,0.0,
TSLA,2020Q1,Dynamic ET (tuned),0.22513282544495228,0.21445184157600422,0.28104962586342563,1.9974098749953555,6,15,22.71720204200392,"{'tau': 0.6, 'leaf': 1, 'depth': 24, 'split': 5}"
TSLA,2020Q1,Dynamic ET,0.21534812864535013,0.21567480305200026,0.28281854732110495,3.2866865000032703,7,15,0.0,
TSLA,2020Q2,Dynamic ET (tuned),0.6722677394955339,0.10261182933478995,0.13742039893042876,1.329287625005236,4,15,22.846333957997558,"{'tau': 0.5, 'leaf': 3, 'depth': None, 'split': 5}"
TSLA,2020Q2,Dynamic ET,0.6760771052838981,0.1014689857653333,0.13661941791087412,3.2139800420045503,7,15,0.0,
TSLA,2020Q3,Dynamic ET (tuned),0.12887055294146565,0.1816492755710959,0.25249535666099626,2.7172972920016036,12,15,23.740757792002114,"{'tau': 0.95, 'leaf': 3, 'depth': 24, 'split': 2}"
TSLA,2020Q3,Dynamic ET,0.13767604777891607,0.18019360259599984,0.25121598674864043,3.5062197079969337,8,15,0.0,
TSLA,2020Q4,Dynamic ET (tuned),0.5771525210559192,0.10586685154197743,0.14343634271394323,1.4910426249989541,6,15,24.112345916000777,"{'tau': 0.7, 'leaf': 5, 'depth': 24, 'split': 2}"
TSLA,2020Q4,Dynamic ET,0.49449257939565416,0.11674846839133336,0.15683070617828135,3.357184041997243,7,15,0.0,
