fold,region,arm,n,M_blocks,r2,mae
2017Q4,ATM,DynET,1080,14,0.8093238466720367,0.01588960903703702
2017Q4,ITM,ET-12,2092,14,0.9472164729718564,0.014511909999999953
2017Q4,ITM,ET-20,2092,14,0.9634113818492012,0.01268419133365196
2017Q4,ITM,DynET,2092,14,0.9605287908298255,0.013128509383365149
2017Q4,deep_ITM,ET-12,3779,14,0.9709551665797737,0.049377623836993914
2017Q4,deep_ITM,ET-20,3779,14,0.9744537637971522,0.04233861452765281
2017Q4,deep_ITM,DynET,3779,14,0.9737231770318988,0.0429593818655729
2018Q1,deep_OTM,ET-12,5741,13,0.9944298245117165,0.021162189998258175
2018Q1,deep_OTM,ET-20,5741,13,0.9944092377038912,0.02017102190036582
2018Q1,deep_OTM,DynET,5741,13,0.9945738326392858,0.020441376704406922
2018Q1,OTM,ET-12,2243,13,0.9512873499893679,0.009628371818992438
2018Q1,OTM,ET-20,2243,13,0.9478945597028797,0.009919907391885887
2018Q1,OTM,DynET,2243,13,0.9401428396905224,0.010523012478823061
2018Q1,ATM,ET-12,1090,13,0.8783885039160164,0.011283461944954113
2018Q1,ATM,ET-20,1090,13,0.8655903152109268,0.01166489077981651
2018Q1,ATM,DynET,1090,13,0.8378505399332025,0.01277597165137618
2018Q1,ITM,ET-12,2063,13,0.9517837143238959,0.013263201250605882
2018Q1,ITM,ET-20,2063,13,0.9543163385848263,0.013022930029083854
2018Q1,ITM,DynET,2063,13,0.9488604168607349,0.013504983422200691
2018Q1,deep_ITM,ET-12,3863,13,0.9844179715324882,0.035485652640434746
2018Q1,deep_ITM,ET-20,3863,13,0.9888204980064642,0.03023250524462829
2018Q1,deep_ITM,DynET,3863,13,0.9881162383458232,0.031031989262231212
2018Q2,deep_OTM,ET-12,5996,13,0.9968673349034243,0.01769195690126752
2018Q2,deep_OTM,ET-20,5996,13,0.9970773604037093,0.01576350223815876
2018Q2,deep_OTM,DynET,5996,13,0.9970310092621759,0.016073809523015313
2018Q2,OTM,ET-12,2335,13,0.936086037613678,0.012364704702355409
2018Q2,OTM,ET-20,2335,13,0.9416062728048223,0.011948455456102725
2018Q2,OTM,DynET,2335,13,0.9349519146651812,0.012529202235545987
2018Q2,ATM,ET-12,1099,13,0.8902154317843374,0.013487357297543372
2018Q2,ATM,ET-20,1099,13,0.8870167098493493,0.013755852848043829
2018Q2,ATM,DynET,1099,13,0.8779400498330079,0.01471213047315758
2018Q2,ITM,ET-12,1995,13,0.936273561968646,0.01883023373433589
2018Q2,ITM,ET-20,1995,13,0.9450243538750206,0.017805860020050177
2018Q2,ITM,DynET,1995,13,0.9420926811491318,0.01843790364411036
2018Q2,deep_ITM,ET-12,3575,13,0.9896092134257882,0.03360276784055941
2018Q2,deep_ITM,ET-20,3575,13,0.9912017564578252,0.029765026198601302
2018Q2,deep_ITM,DynET,3575,13,0.9909882629327691,0.029490088760839205
