setting,seed,dataset,model,region,n,M,r2,mae,cfg
transfer,7,2017 European,RF,all,1700,,-0.14518554548678897,0.1096656821764705,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,7,2017 European,RF,OTM,412,,0.35862097177032837,0.0851643471682847,
transfer,7,2017 European,RF,ATM,772,,-0.4275858993582362,0.10931202374784106,
transfer,7,2017 European,RF,ITM,494,,-0.3734788650678593,0.13079946470985146,
transfer,7,"12,110 American",RF,all,11563,,-2.3120191064949154,0.2845241814320965,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,7,"12,110 American",RF,deep OTM,2524,,-2.235839034072869,0.2988833651065767,
transfer,7,"12,110 American",RF,OTM,1812,,-3.177885575581855,0.28736006006493736,
transfer,7,"12,110 American",RF,ATM,1934,,-3.4185529128350387,0.2488049150858324,
transfer,7,"12,110 American",RF,ITM,1586,,-4.406971770902162,0.3017968983154686,
transfer,7,"12,110 American",RF,deep ITM,3707,,-2.5690451096121056,0.28460655004810703,
transfer,101,held out,Dynamic ET,all,887,15.0,0.8044931238235195,0.051772452975385116,"{'tau': 0.9, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 5}"
transfer,101,held out,Dynamic ET,OTM,276,15.0,0.7429392279178704,0.054885568949275196,
transfer,101,held out,Dynamic ET,ATM,305,15.0,0.8722806327359424,0.04034847619125679,
transfer,101,held out,Dynamic ET,ITM,292,15.0,0.811147170369066,0.058549992051940614,
transfer,101,2017 European,Dynamic ET,all,1700,15.0,0.09052618511633803,0.1019292265382353,"{'tau': 0.9, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 5}"
transfer,101,2017 European,Dynamic ET,OTM,412,15.0,0.4416807901896729,0.08039229020428797,
transfer,101,2017 European,Dynamic ET,ATM,772,15.0,-0.13627805302443652,0.10207100860319517,
transfer,101,2017 European,Dynamic ET,ITM,494,15.0,-0.04108201769626896,0.1194860047655196,
transfer,101,"12,110 American",Dynamic ET,all,11563,15.0,-0.39870912884805376,0.17649923121103228,"{'tau': 0.9, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 5}"
transfer,101,"12,110 American",Dynamic ET,deep OTM,2524,15.0,-0.08808093495845148,0.16498274323646317,
transfer,101,"12,110 American",Dynamic ET,OTM,1812,15.0,-0.7303403061903944,0.18138592852897328,
transfer,101,"12,110 American",Dynamic ET,ATM,1934,15.0,-1.0103025137160606,0.16597992814003784,
