fold,model,enc,k,M,d,r2,mae,secs
2017Q4,SVI,,0,9,0,0.7769763842651296,0.0657649243604377,3.3828532499610446
2018Q1,DynET-mer (searched),iT-32x3,4,11,19,0.9137153468726482,0.033064781335999924,240.94609854201553
2018Q1,Dynamic ET,,0,8,0,0.9142692867951798,0.03311269587999994,3.192410874995403
2018Q1,ET,,0,8,0,0.9073611269652042,0.03411454261966662,2.8185539579717442
2018Q1,RF,,0,8,0,0.9066931555751747,0.035169577389593,1.3358158330083825
2018Q1,FT-Transformer,,0,8,0,0.9132829902018317,0.03420820319475969,96.0471575409756
2018Q1,SVI,,0,8,0,0.7362804653222887,0.06772748831514057,3.136340500030201
2018Q2,DynET-mer (searched),FT-32x2,4,9,19,0.9363508115980317,0.03010974451333331,213.8493791250512
2018Q2,Dynamic ET,,0,8,0,0.9303504821195498,0.03086629445066663,3.2562342500314116
2018Q2,ET,,0,8,0,0.92576516436988,0.031151831145333295,2.9086073330254294
2018Q2,RF,,0,8,0,0.9241283445016542,0.033248967967061636,1.3800930000143126
2018Q2,FT-Transformer,,0,8,0,0.935944485064145,0.030938522076773962,96.3005333339679
2018Q2,SVI,,0,8,0,0.7676994073171646,0.06790545580835587,3.838329041027464
2018Q3,DynET-mer (searched),iT-32x3,16,8,31,0.9216489717422736,0.03974312975866666,242.94532770797377
2018Q3,Dynamic ET,,0,7,0,0.9424390076795637,0.030957566840666677,3.059536417014897
2018Q3,ET,,0,7,0,0.9304922084423666,0.03459501797733335,2.8075327500118874
2018Q3,RF,,0,7,0,0.9409779119483619,0.03155380543192397,1.3563445000327192
2018Q3,FT-Transformer,,0,7,0,0.907047838937021,0.04486471356175518,95.91320674994495
2018Q3,SVI,,0,7,0,0.7813798555338773,0.06546157327682925,3.3092449579853565
2018Q4,DynET-mer (searched),FT-32x2,4,8,19,0.8453658914195767,0.061659364642333334,212.60527554200962
2018Q4,Dynamic ET,,0,7,0,0.8449364997475107,0.06217509524800002,3.0004532919847406
2018Q4,ET,,0,7,0,0.8331709204551327,0.06365912396333337,2.814805708010681
2018Q4,RF,,0,7,0,0.8261553871293075,0.06547246879871838,1.3436054170015268
2018Q4,FT-Transformer,,0,7,0,0.8291194351721578,0.067127110500192,96.22421879100148
2018Q4,SVI,,0,7,0,0.6634994413841004,0.08870934498106456,3.420020583027508
2019Q1,DynET-mer (searched),iT-64x2,4,7,19,0.9208833493384969,0.04003050394166662,214.77656891703373
2019Q1,Dynamic ET,,0,7,0,0.9289038702871145,0.03688421489366666,2.8986179170315154
2019Q1,ET,,0,7,0,0.9251276763007475,0.0397436294173333,2.8902752500143833
2019Q1,RF,,0,7,0,0.9195850362288802,0.04002717082264893,1.3971633330220357
