B,rho,seed,d,eff_rank,redundancy,all,block-rule,gain
5,0.8,2,30,10.252646586265833,0.6582451137911389,0.852662920244146,0.8427043656848558,-0.009958554559290178
5,0.8,3,30,10.256604119303056,0.6581131960232315,0.856073853400279,0.8437943343391614,-0.012279519061117572
5,0.8,4,30,10.250639677562827,0.6583120107479058,0.8588654315995626,0.8484650941078735,-0.010400337491689116
5,0.95,0,30,6.3659610770366815,0.7878012974321106,0.9207593754976153,0.9146990467598732,-0.006060328737742093
5,0.95,1,30,6.366730083704407,0.7877756638765198,0.9262702266758355,0.923985966654743,-0.002284260021092499
5,0.95,2,30,6.354469960126163,0.7881843346624612,0.928861128354506,0.9286297464703783,-0.00023138188412763494
5,0.95,3,30,6.356297385609417,0.7881234204796861,0.9327603749654042,0.9312958232934851,-0.0014645516719190566
5,0.95,4,30,6.354885355391062,0.7881704881536313,0.9378104465939634,0.9367384626480556,-0.0010719839459077951
5,0.99,0,30,5.3180556254860365,0.8227314791504654,0.9396865553840037,0.938529773857036,-0.0011567815269677428
5,0.99,1,30,5.3178339586143375,0.8227388680461888,0.944479252113091,0.946186168062294,0.001706915949203025
5,0.99,2,30,5.3156950640715666,0.8228101645309478,0.9444589256644892,0.9486104869199236,0.004151561255434366
5,0.99,3,30,5.314003602527919,0.8228665465824028,0.9475779258054197,0.9501665124564984,0.0025885866510787503
5,0.99,4,30,5.315066811142487,0.8228311062952505,0.9551360759917726,0.9570497691788777,0.0019136931871051033
10,0.0,0,30,29.89933894904624,0.0033553683651253996,-0.020291959168448503,-0.012444442312620652,0.007847516855827852
10,0.0,1,30,29.87889272502311,0.004036909165896274,-0.022094714122174786,-0.021635391911222213,0.000459322210952573
10,0.0,2,30,29.89715814426088,0.0034280618579706212,-0.016267852834735752,-0.008351855305951394,0.007915997528784358
10,0.0,3,30,29.880390594759238,0.003986980174692123,-0.015629713785263677,-0.008455811909197308,0.007173901876066369
10,0.0,4,30,29.897831550892704,0.003405614970243165,-0.018195315647857147,-0.010580674517413957,0.007614641130443189
10,0.3,0,30,27.484896772793842,0.0838367742402053,0.3126120566549264,0.3004512054637708,-0.01216085119115562
10,0.3,1,30,27.501311341947392,0.08328962193508693,0.31075954545198925,0.2964887927029578,-0.014270752749031446
10,0.3,2,30,27.464839973388976,0.08450533422036743,0.32044473352483194,0.30308323037767715,-0.01736150314715479
10,0.3,3,30,27.514710097978348,0.08284299673405504,0.31756074746239316,0.29979377140565233,-0.017766976056740824
10,0.3,4,30,27.563678900710446,0.08121070330965174,0.32176785976018796,0.30039009482782764,-0.02137776493236032
10,0.6,0,30,21.42011095664002,0.2859963014453327,0.5657584657243798,0.5466309900936268,-0.01912747563075301
10,0.6,1,30,21.46458110530299,0.28451396315656696,0.5628920788011109,0.5413376100777406,-0.0215544687233703
10,0.6,2,30,21.42946840390373,0.2856843865365424,0.5708911277977202,0.5524555831664597,-0.018435544631260514
10,0.6,3,30,21.488406708977962,0.2837197763674013,0.5619439711936831,0.5444113726646795,-0.017532598529003574
10,0.6,4,30,21.49785023262352,0.28340499224588267,0.5784555463235135,0.5548941013731552,-0.02356144495035828
10,0.8,0,30,16.209208504650775,0.45969304984497417,0.7151407459714133,0.7015805058453395,-0.01356024012607382
10,0.8,1,30,16.23752792905675,0.45874906903144164,0.714396769989061,0.6940552125507273,-0.020341557438333657
10,0.8,2,30,16.222809041709873,0.45923969860967095,0.7196638784521756,0.7034927682443489,-0.01617111020782669
10,0.8,3,30,16.260117934708962,0.45799606884303456,0.7117986144844166,0.6973426716964497,-0.014455942787966913
10,0.8,4,30,16.251573470100084,0.45828088432999725,0.7253572870995771,0.7009651435889581,-0.024392143510619024
10,0.95,0,30,11.828357450526646,0.6057214183157784,0.8250433726449182,0.8148237824560254,-0.010219590188892846
10,0.95,1,30,11.837656636720547,0.6054114454426485,0.8198331310913886,0.8071687570752759,-0.012664374016112645
10,0.95,2,30,11.835977248645863,0.605467425045138,0.8240392772062413,0.8090102716434585,-0.015029005562782749
10,0.95,3,30,11.847830185366533,0.6050723271544489,0.819371484970823,0.8076931326667024,-0.01167835230412062
10,0.95,4,30,11.841500710780274,0.6052833096406576,0.8280539707857069,0.8098798834516907,-0.018174087334016154
10,0.99,0,30,10.443696252302324,0.6518767915899225,0.850063236569203,0.8429677774325569,-0.0070954591366461095
10,0.99,1,30,10.448792038322656,0.6517069320559115,0.8449268206747429,0.8361639326345305,-0.008762888040212413
10,0.99,2,30,10.44866795098317,0.651711068300561,0.8485409642796203,0.8387768434795357,-0.009764120800084597
10,0.99,3,30,10.452375857166597,0.6515874714277801,0.8454212708424773,0.8377339200056342,-0.007687350836843132
10,0.99,4,30,10.44984141249679,0.6516719529167736,0.8502754981384752,0.8382801167320428,-0.011995381406432415
