ticker,fold,model,days,gross,sd,net25,net50,c25,c50
AAPL,2018Q3,ET,62,0.00033720644466437536,0.0033066756204802586,-0.002576440133153363,-0.0054900867109711005,0.0029136465778177387,0.0058272931556354775
AAPL,2018Q4,Dynamic ET,63,0.00144595908892226,0.0044893384074733,-0.00487283813863516,-0.011191635366192582,0.006318797227557421,0.012637594455114842
AAPL,2018Q4,ET-aug,63,0.0014586754552672408,0.004379260818147021,-0.00479313016403241,-0.011044935783332061,0.006251805619299651,0.012503611238599301
AAPL,2018Q4,ET,63,0.00155023081956574,0.004441854707579748,-0.004773528768019062,-0.011097288355603864,0.006323759587584803,0.012647519175169606
AAPL,2019Q1,Dynamic ET,59,0.0017259591083454559,0.0042156650067074215,-0.002821903531992807,-0.007369766172331072,0.004547862640338263,0.009095725280676526
AAPL,2019Q1,ET-aug,59,0.001656402512001897,0.004034308558197489,-0.0028816219194156057,-0.0074196463508331085,0.004538024431417504,0.009076048862835008
AAPL,2019Q1,ET,59,0.0018754411400486077,0.004928696760743767,-0.0027106912569166324,-0.007296823653881874,0.00458613239696524,0.00917226479393048
AAPL,2019Q2,Dynamic ET,62,0.0007910368367155249,0.0025826900193069097,-0.0022214608310618263,-0.005233958498839176,0.0030124976677773506,0.006024995335554701
AAPL,2019Q2,ET-aug,62,0.0007862552293826194,0.0025952407891481123,-0.002274292963579092,-0.005334841156540805,0.003060548192961712,0.006121096385923424
AAPL,2019Q2,ET,62,0.000860569529246415,0.002842586565192926,-0.002173135787894322,-0.005206841105035059,0.0030337053171407367,0.006067410634281473
AAPL,2019Q3,Dynamic ET,63,0.00024047001237760454,0.004095060077360716,-0.0032695631359219435,-0.006779596284221492,0.0035100331482995476,0.007020066296599095
AAPL,2019Q3,ET-aug,63,0.00017834632485271842,0.004063281986265195,-0.003410742542008053,-0.006999831408868824,0.0035890888668607727,0.007178177733721545
AAPL,2019Q3,ET,63,0.0001562613767272444,0.003936586195844521,-0.0035113621889130706,-0.007178985754553385,0.0036676235656403146,0.007335247131280629
AAPL,2019Q4,Dynamic ET,63,0.0007355265274953238,0.002533873623618216,-0.004346676011505326,-0.009428878550505976,0.005082202539000649,0.010164405078001298
AAPL,2019Q4,ET-aug,63,0.0006960932290377434,0.0023905338203609795,-0.004414488250393793,-0.009525069729825327,0.005110581479431536,0.010221162958863071
AAPL,2019Q4,ET,63,0.0008228016779118841,0.0029089714273597463,-0.004298254688075173,-0.009419311054062235,0.005121056365987058,0.010242112731974116
AAPL,2020Q1,Dynamic ET,61,0.0006518237929342085,0.011797028280211846,-0.005682657653149826,-0.01201713909923386,0.006334481446084032,0.012668962892168064
AAPL,2020Q1,ET-aug,61,0.0006956600794430801,0.011859869210491234,-0.0056477763501409815,-0.011991212779725043,0.006343436429584062,0.012686872859168124
AAPL,2020Q1,ET,61,0.000858883957575352,0.01201072597513473,-0.005649526944266644,-0.012157937846108642,0.006508410901841996,0.013016821803683992
AAPL,2020Q2,Dynamic ET,61,0.000514045734079232,0.005224709310398924,-0.006377772827660892,-0.013269591389401016,0.006891818561740125,0.01378363712348025
AAPL,2020Q2,ET-aug,61,0.000676696387305228,0.00513647492266521,-0.006116737545980811,-0.012910171479266852,0.006793433933286039,0.013586867866572079
AAPL,2020Q2,ET,61,0.000927430263182583,0.005476590697801513,-0.006025140460074135,-0.012977711183330852,0.0069525707232567175,0.013905141446513435
AAPL,2020Q3,Dynamic ET,61,0.0020394850394076175,0.006196907191234131,-0.0025516191567958473,-0.007142723352999313,0.004591104196203465,0.00918220839240693
AAPL,2020Q3,ET-aug,61,0.0020529874271241724,0.006264474485068565,-0.0025527841234302827,-0.007158555673984739,0.004605771550554456,0.009211543101108912
AAPL,2020Q3,ET,61,0.0020947643276005424,0.006383127619541914,-0.00257729490173628,-0.007249354131073105,0.004672059229336822,0.009344118458673644
AAPL,2020Q4,Dynamic ET,59,0.0017706115596183272,0.006305075406854766,-0.0018382430848839719,-0.005447097729386272,0.0036088546445022995,0.007217709289004599
AAPL,2020Q4,ET-aug,59,0.0016487474716937811,0.0062889628069007185,-0.0018500734213281304,-0.0053488943143500415,0.003498820893021911,0.006997641786043822
AAPL,2020Q4,ET,59,0.0016373588177576745,0.006483416792278453,-0.001886485678210645,-0.005410330174178966,0.0035238444959683197,0.0070476889919366395
NVDA,2021Q1,Dynamic ET,59,0.002832484857222157,0.004776948995272335,-0.00466351014096893,-0.012159505139160016,0.007495994998191088,0.014991989996382175
NVDA,2021Q1,ET-aug,59,0.002994315514791069,0.0049968279282746495,-0.004688251760544964,-0.012370819035880998,0.007682567275336032,0.015365134550672064
NVDA,2021Q1,ET,59,0.003127572607000047,0.005489817290421052,-0.00459377492627196,-0.012315122459543968,0.007721347533272007,0.015442695066544014
NVDA,2021Q2,Dynamic ET,62,0.0009866641015194605,0.0033743033250443685,-0.004739835325409187,-0.010466334752337833,0.005726499426928646,0.011452998853857293
NVDA,2021Q2,ET-aug,62,0.0009514500997965767,0.0034901254753749414,-0.004792048903593855,-0.010535547906984289,0.005743499003390432,0.011486998006780864
