fold,arm,d,max_features,M_blocks,n_train,n_test,r2,mae,rmse,secs
2017Q3,ET-20@0.30,20,0.3,14,30000,15000,0.9905021272408157,0.023181394704666673,0.05243135730898016,2.8463972919853404
2017Q3,ET-20@0.40,20,0.4,14,30000,15000,0.9917570852664759,0.021919300347333356,0.048844799444208366,3.66002866695635
2017Q3,ET-20@0.50,20,0.5,14,30000,15000,0.992530279988938,0.02097650025933332,0.04649755199208847,4.120889083016664
2017Q3,ET-20@0.60,20,0.6,14,30000,15000,0.9928882506410364,0.020474682076666688,0.045369725134486005,4.499725625035353
2017Q3,ET-20@0.70,20,0.7,14,30000,15000,0.9931033951373648,0.020089681838666718,0.044678192916131836,5.214116709015798
2017Q3,ET-20@0.80,20,0.8,14,30000,15000,0.9932854045150545,0.019863156206666704,0.044084696380236356,5.3403342079836875
2017Q3,ET-20@0.90,20,0.9,14,30000,15000,0.9933649750491457,0.01981953196466671,0.04382270761251857,5.543270041991491
2017Q3,ET-20@1.00,20,1.0,14,30000,15000,0.9933071002616766,0.019791545958666685,0.04401341701129334,6.045188000018243
2017Q3,ET-12@0.30,12,0.3,14,30000,15000,0.9738226939593768,0.03511105737666661,0.08704431305372862,1.8440825000288896
2017Q3,ET-12@0.50,12,0.5,14,30000,15000,0.9859516604697742,0.02610803913466669,0.06376618349037756,2.566138958965894
2017Q3,ET-12@0.70,12,0.7,14,30000,15000,0.9886990454097018,0.023739409353333372,0.05719202737593415,3.085383958008606
2017Q4,ET-12,12,1.0,14,30000,15000,0.9847060732420668,0.024013932372666726,0.07086438421394944,4.488940917013679
2017Q4,DynET,20,0.7,14,30000,15000,0.9859497722567022,0.02184055582866674,0.06792195794079844,4.883550875005312
2017Q4,ET-20@0.10,20,0.1,14,30000,15000,0.9646295858841061,0.035619836524666666,0.10776769322964537,1.6890322919934988
2017Q4,ET-20@0.20,20,0.2,14,30000,15000,0.9769862811216335,0.02733044496866668,0.08692844610808145,2.2673698340076953
2017Q4,ET-20@0.30,20,0.3,14,30000,15000,0.9809890870880942,0.024792922056000043,0.0790078058026745,2.8321881250012666
2017Q4,ET-20@0.40,20,0.4,14,30000,15000,0.9830462253076859,0.02349138466266672,0.07461080370848858,3.3382214580196887
2017Q4,ET-20@0.50,20,0.5,14,30000,15000,0.9848606104795259,0.022512869427333417,0.07050545118713639,3.818624750012532
2017Q4,ET-20@0.60,20,0.6,14,30000,15000,0.984891272909831,0.022258759557333398,0.07043401619893877,4.3945524580194615
2017Q4,ET-20@0.70,20,0.7,14,30000,15000,0.9859497722567022,0.02184055582866674,0.06792195794079843,4.7522737919935025
2017Q4,ET-20@0.80,20,0.8,14,30000,15000,0.9860154701633367,0.021699242740666744,0.06776297265057546,5.489837083034217
2017Q4,ET-20@0.90,20,0.9,14,30000,15000,0.9869134789476088,0.021270638909333405,0.06555119581144737,5.880758958985098
2017Q4,ET-20@1.00,20,1.0,14,30000,15000,0.9863864525191499,0.021370867088666735,0.0668581214476493,6.131765625032131
2017Q4,ET-12@0.30,12,0.3,14,30000,15000,0.9592760411364746,0.03987013562333329,0.11563611960195354,1.86435879196506
2017Q4,ET-12@0.50,12,0.5,14,30000,15000,0.9754509373604661,0.029426074314666626,0.08978131696900542,2.635619458043948
2017Q4,ET-12@0.70,12,0.7,14,30000,15000,0.9804290766001335,0.026551109013999995,0.08016303902112286,3.220845708041452
2018Q1,ET-12,12,1.0,13,30000,15000,0.9906935219995622,0.021322040307999973,0.05635060585134184,4.27337108401116
2018Q1,DynET,20,0.65,13,30000,15000,0.992195547381628,0.020174681671333298,0.051603259713802536,4.334220165968873
2018Q1,ET-20@0.10,20,0.1,13,30000,15000,0.9755021702278645,0.033617428500666645,0.09142599982812415,1.662652832979802
2018Q1,ET-20@0.20,20,0.2,13,30000,15000,0.9873902379979842,0.02506041432799996,0.06559328130661866,2.2491067919763736
2018Q1,ET-20@0.30,20,0.3,13,30000,15000,0.9902173852270838,0.022450485063999943,0.05777412651601183,2.5874025839730166
2018Q1,ET-20@0.40,20,0.4,13,30000,15000,0.9913759493949349,0.02119858350333329,0.05424523066874778,3.2224555830471218
2018Q1,ET-20@0.50,20,0.5,13,30000,15000,0.9919158659710342,0.020630591533999956,0.052519751770536915,3.6789157500024885
2018Q1,ET-20@0.60,20,0.6,13,30000,15000,0.9920727410340701,0.020299837909333308,0.05200767452219649,4.157461249968037
2018Q1,ET-20@0.70,20,0.7,13,30000,15000,0.9922667608640198,0.02007669931066662,0.05136728741269111,4.723639750038274
2018Q1,ET-20@0.80,20,0.8,13,30000,15000,0.9924442377903981,0.01989316595133331,0.05077442957023945,5.208456417021807
2018Q1,ET-20@0.90,20,0.9,13,30000,15000,0.9924133510881658,0.019742429289999957,0.05087810245061078,5.9296026249649
2018Q1,ET-20@1.00,20,1.0,13,30000,15000,0.9924463926019502,0.01962809282466662,0.05076718892885758,6.1009124999982305
2018Q1,ET-12@0.30,12,0.3,13,30000,15000,0.97528771108047,0.03479516892066666,0.09182530902613659,1.9059429169865325
2018Q1,ET-12@0.50,12,0.5,13,30000,15000,0.986652553784748,0.025303238011333315,0.06748465032855233,2.6543165000039153
2018Q1,ET-12@0.70,12,0.7,13,30000,15000,0.9890971918128191,0.023035339278666668,0.06099231224902528,3.0929832499823533
2018Q2,ET-12,12,1.0,13,30000,15000,0.9938078067145202,0.020498091737333336,0.04533614908790908,4.1603214999777265
2018Q2,DynET,20,0.65,13,30000,15000,0.9944732224518091,0.018934237706666676,0.042831015172424915,4.902158749988303
2018Q2,ET-20@0.10,20,0.1,13,30000,15000,0.9817528130896356,0.03215760638933336,0.07782521624420025,1.675348707998637
2018Q2,ET-20@0.20,20,0.2,13,30000,15000,0.9902842387880999,0.023931517468666706,0.05678855158547649,2.175890708982479
2018Q2,ET-20@0.30,20,0.3,13,30000,15000,0.9927393782844852,0.021184079510000054,0.04909183669658449,2.758404874999542
2018Q2,ET-20@0.40,20,0.4,13,30000,15000,0.99359044289372,0.020122497466000068,0.046125000766347915,3.3233217500383034
2018Q2,ET-20@0.50,20,0.5,13,30000,15000,0.9941783152801383,0.01941696112600003,0.0439588899171873,4.068178249988705
2018Q2,ET-20@0.60,20,0.6,13,30000,15000,0.9943131759205858,0.01919539575466669,0.04344674776324071,4.360444749996532
2018Q2,ET-20@0.70,20,0.7,13,30000,15000,0.994446504878438,0.018921252336666666,0.04293441730132047,4.902195708011277
2018Q2,ET-20@0.80,20,0.8,13,30000,15000,0.9945743725116309,0.018734664553999997,0.042437262599939456,5.27106391696725
2018Q2,ET-20@0.90,20,0.9,13,30000,15000,0.9946794646300344,0.018612089643999997,0.04202425693611768,5.9555787919671275
2018Q2,ET-20@1.00,20,1.0,13,30000,15000,0.994611902158358,0.01863119630599998,0.042290236363275266,6.3929593749926426
2018Q2,ET-12@0.30,12,0.3,13,30000,15000,0.9795728119438356,0.03439118743666666,0.0823429969129899,1.9740977499750443
2018Q2,ET-12@0.50,12,0.5,13,30000,15000,0.9901829777286963,0.02468544605466666,0.0570837195603348,2.5964514579973184
2018Q2,ET-12@0.70,12,0.7,13,30000,15000,0.9924257643649109,0.022302338102000014,0.050140860364005564,3.2769098340068012
2018Q3,ET-12,12,1.0,13,30000,15000,0.9907153338612468,0.025991156015999915,0.05964389280525502,4.140864540997427
2018Q3,DynET,20,0.65,13,30000,15000,0.9928589682927571,0.022909294125333303,0.052307421960603354,4.536018041020725
2018Q3,ET-20@0.10,20,0.1,13,30000,15000,0.9794606108521666,0.034802578498666754,0.08871082062538989,1.674720040988177
2018Q3,ET-20@0.20,20,0.2,13,30000,15000,0.9885659900528905,0.027270098093333375,0.06618843582974213,2.127653207979165
2018Q3,ET-20@0.30,20,0.3,13,30000,15000,0.9908699748851124,0.02507882128399996,0.05914510691300396,2.7197300840052776
2018Q3,ET-20@0.40,20,0.4,13,30000,15000,0.9919864069327268,0.02408909565933332,0.05541106247756707,3.302430541953072
2018Q3,ET-20@0.50,20,0.5,13,30000,15000,0.9923079639987915,0.023446193022000003,0.0542879558595484,3.7160016669658944
2018Q3,ET-20@0.60,20,0.6,13,30000,15000,0.9927725817213046,0.02305102657733331,0.05262285783007156,4.357537332980428
2018Q3,ET-20@0.70,20,0.7,13,30000,15000,0.9928487795846928,0.022730141510666636,0.05234472434980665,4.662466750014573
2018Q3,ET-20@0.80,20,0.8,13,30000,15000,0.992965519247493,0.022585835979999948,0.051915717185461924,5.177110708958935
2018Q3,ET-20@0.90,20,0.9,13,30000,15000,0.992987994817786,0.022622261534666628,0.05183271398235291,5.602042125014123
2018Q3,ET-20@1.00,20,1.0,13,30000,15000,0.9930218808204884,0.022474032534666632,0.05170731970719621,6.051729374972638
2018Q3,ET-12@0.30,12,0.3,13,30000,15000,0.9754210579647655,0.03742893954733337,0.0970430477886448,1.943086665996816
2018Q3,ET-12@0.50,12,0.5,13,30000,15000,0.986583516356668,0.029294901232666634,0.07169719874525785,2.6320499590365216
2018Q3,ET-12@0.70,12,0.7,13,30000,15000,0.9890501999434277,0.027395393972666618,0.06477179453913982,3.3126562910038047
2018Q4,ET-12,12,1.0,15,30000,15000,0.9838600241471567,0.0358915126033333,0.06623779618060818,4.26438429200789
2018Q4,DynET,20,0.75,15,30000,15000,0.9867083927171524,0.03561285183,0.06010950957799971,5.0356557500199415
2018Q4,ET-20@0.10,20,0.1,15,30000,15000,0.9630773756222285,0.05087063706666669,0.10018454156003395,1.5872763329534791
2018Q4,ET-20@0.20,20,0.2,15,30000,15000,0.978170688048177,0.042381296082666664,0.07703258250248769,2.2657486249809153
2018Q4,ET-20@0.30,20,0.3,15,30000,15000,0.9821659230303627,0.03958551799866667,0.06962733174456788,2.6572065000073053
2018Q4,ET-20@0.40,20,0.4,15,30000,15000,0.9840451129191473,0.03818589704466666,0.06585690268787243,3.0391642920440063
2018Q4,ET-20@0.50,20,0.5,15,30000,15000,0.9851189638546478,0.037219082486666666,0.06360203623699504,3.8136400419753045
2018Q4,ET-20@0.60,20,0.6,15,30000,15000,0.9858018515089465,0.03649104697400001,0.06212555636884881,4.385098500002641
2018Q4,ET-20@0.70,20,0.7,15,30000,15000,0.986142726231628,0.036154269333333315,0.061375258274164866,5.255543916951865
2018Q4,ET-20@0.80,20,0.8,15,30000,15000,0.9868500197704622,0.03552225161733333,0.05978840725304359,5.173577791952994
2018Q4,ET-20@0.90,20,0.9,15,30000,15000,0.9871729231287787,0.03514632188399999,0.05904977985634256,5.818800916953478
2018Q4,ET-20@1.00,20,1.0,15,30000,15000,0.9872852252165246,0.03489870577133333,0.058790718803178106,6.2133531250292435
2018Q4,ET-12@0.30,12,0.3,15,30000,15000,0.9623476459576594,0.05003427211933333,0.10116970904019644,1.997603915981017
2018Q4,ET-12@0.50,12,0.5,15,30000,15000,0.9776590133794346,0.040297457380000005,0.07793016726461546,2.6991632499848492
2018Q4,ET-12@0.70,12,0.7,15,30000,15000,0.981138851959442,0.03797036623733334,0.07160419985723548,3.248632667004131
2019Q1,ET-12,12,1.0,13,30000,15000,0.9823960702313116,0.023151251930666635,0.06034105926395242,4.329710874997545
2019Q1,DynET,20,0.65,13,30000,15000,0.98669817886147,0.020401022878666596,0.05245219511626311,4.547932750021573
2019Q1,ET-20@0.10,20,0.1,13,30000,15000,0.9651826589622791,0.030170163655999963,0.08486056459093651,1.6316655830014497
2019Q1,ET-20@0.20,20,0.2,13,30000,15000,0.9800297445110349,0.02328184174999998,0.06426876087935102,2.338531791989226
2019Q1,ET-20@0.30,20,0.3,13,30000,15000,0.9838867829222868,0.021450637377333284,0.05772969262114899,2.9930127909756266
2019Q1,ET-20@0.40,20,0.4,13,30000,15000,0.9854855012630034,0.020782562154666617,0.05479098867273035,3.2177130830241367
2019Q1,ET-20@0.50,20,0.5,13,30000,15000,0.9863042473543222,0.020501139647999957,0.053223210470079975,4.027780541975517
2019Q1,ET-20@0.60,20,0.6,13,30000,15000,0.9866129589679454,0.020532196205999945,0.05261994785902842,4.515986957994755
2019Q1,ET-20@0.70,20,0.7,13,30000,15000,0.9867404171305411,0.020396253426666608,0.05236885120950468,4.936134957999457
2019Q1,ET-20@0.80,20,0.8,13,30000,15000,0.9869978249452203,0.020302085656666614,0.051858042651657006,5.307100166974124
2019Q1,ET-20@0.90,20,0.9,13,30000,15000,0.9870738929517082,0.020226907351333277,0.05170612482147591,5.988695208972786
2019Q1,ET-20@1.00,20,1.0,13,30000,15000,0.9869402273117898,0.020141536753999933,0.05197277729980691,6.341103042010218
2019Q1,ET-12@0.30,12,0.3,13,30000,15000,0.9566583851446275,0.03484013245733334,0.09468052565760085,1.9416020409553312
2019Q1,ET-12@0.50,12,0.5,13,30000,15000,0.9762171203971489,0.026430717339999975,0.07013589361774811,2.6604970840271562
2019Q1,ET-12@0.70,12,0.7,13,30000,15000,0.980141736478514,0.024442347587333303,0.0640882998862459,3.04528666700935
2019Q2,ET-12,12,1.0,13,30000,15000,0.9879591326295502,0.015408777370000003,0.036965880805177216,4.303185917029623
