n_pairs,rho,seed,B,mf,eff_rank,redundancy,rule,allcand,best_fixed,gain,mf0.2,mf0.3,mf0.4,mf0.5,mf0.6,mf0.7,mf0.8,mf0.9,mf1.0
1,0.99,2,14,0.9333333333333333,13.702002505419058,0.08653316630539609,0.8363969240545317,0.8368924105551927,0.8368924105551927,-0.0004954865006610021,0.7700010415794378,0.7936819598018932,0.8194837415490416,0.8245628478942689,0.8308997817707475,0.831949811293363,0.8348212410601816,0.8365452550157988,0.8368924105551927
1,0.99,3,14,0.9333333333333333,13.703967536707463,0.08640216421950242,0.8483444444446593,0.848667708833837,0.848667708833837,-0.00032326438917773537,0.7785695934492328,0.8032802160918824,0.8282049155782195,0.8335818037476416,0.8410911530821138,0.8432994358700486,0.8457370289741686,0.8466568342225539,0.848667708833837
1,0.99,4,14,0.9333333333333333,13.704435190332617,0.08637098731115889,0.8417525038457239,0.8413422730763164,0.8413422730763164,0.0004102307694074936,0.7716832849803867,0.7974957712530836,0.8223683002738542,0.8283046554919813,0.8351624268951786,0.838843119854649,0.8396525891056247,0.8405782530376202,0.8413422730763164
3,0.3,0,12,0.8,14.069950632593578,0.06200329116042813,0.6726497627738903,0.6742917340493697,0.6742917340493697,-0.0016419712754793814,0.6099904870438616,0.6345476376338176,0.6570621490753676,0.6638541637533764,0.669914902525955,0.6713001416518172,0.6726497627738903,0.6734412694074898,0.6742917340493697
3,0.3,1,12,0.8,14.06098626915232,0.06260091538984536,0.6649915849580128,0.6658376823789172,0.6658376823789172,-0.000846097420904357,0.5959580578488133,0.6218346475098153,0.644880853723524,0.652227076991202,0.6591431955424614,0.6613603220773563,0.6649915849580128,0.6654753428454332,0.6658376823789172
3,0.3,2,12,0.8,14.078055605388862,0.061462959640742554,0.6698020560521585,0.6699089134426908,0.6705470900960513,-0.00010685739053228893,0.6071867175355201,0.6316343511494822,0.6543290296189691,0.6600924755410662,0.666795365165239,0.6686086899137527,0.6698020560521585,0.6705470900960513,0.6699089134426908
3,0.3,3,12,0.8,14.07280434116269,0.06181304392248732,0.6799860133014446,0.6810402795185359,0.6810402795185359,-0.0010542662170912598,0.6142372855415996,0.638923927464537,0.6622123051583186,0.6670358245194,0.6745515368851256,0.6775227293125894,0.6799860133014446,0.6804327373443102,0.6810402795185359
3,0.3,4,12,0.8,14.078046206061375,0.061463586262574976,0.6718651422197496,0.672267740392761,0.672267740392761,-0.00040259817301147027,0.6046632786344275,0.6289249230505045,0.6528795728969182,0.660137220272377,0.6665923346256306,0.6694817746283278,0.6718651422197496,0.6718482347979468,0.672267740392761
3,0.6,0,12,0.8,13.082114015232685,0.12785906565115435,0.6706184023133028,0.6723301845438977,0.6723301845438977,-0.0017117822305948716,0.618805321981962,0.6370213896539726,0.6562996242608452,0.662319114163221,0.6671280005655774,0.6693073237249257,0.6706184023133028,0.6715639227750525,0.6723301845438977
3,0.6,1,12,0.8,13.075671245885252,0.12828858360764994,0.6618342102014241,0.6633700093449173,0.6633700093449173,-0.0015357991434932217,0.6048862012650235,0.623403432401648,0.6454230672997618,0.6492913794134441,0.6553074388492246,0.6581152676822715,0.6618342102014241,0.6616406209991392,0.6633700093449173
