fold,seed,model,M_blocks,d,r2,mae,secs
2017Q3,13,BF-default,9,15,0.9106039039707514,0.03311221918826373,21.6290006670024
2017Q4,42,Dynamic ET,9,15,0.9190289027654727,0.03041285420933335,3.5837244580034167
2017Q4,42,ET-aug,9,15,0.9171023674546369,0.03065377469133335,4.9483992909954395
2017Q4,42,BF-default,9,15,0.9111528354222613,0.031510148424670266,21.718823249990237
2017Q4,7,Dynamic ET,9,15,0.9192852125323376,0.03041838047900001,3.5153270839946344
2017Q4,7,ET-aug,9,15,0.9179292335480537,0.030582880918333347,4.94680133399379
2017Q4,7,BF-default,9,15,0.9119649031987053,0.03143597857163421,21.462088375003077
2017Q4,101,Dynamic ET,9,15,0.9190028321850353,0.030439227608666672,3.4298272910091328
2017Q4,101,ET-aug,9,15,0.9177077093236116,0.03064506505700001,4.9866725410101935
2017Q4,101,BF-default,9,15,0.9108682276839145,0.03146622757138138,22.075375083004474
2017Q4,2024,Dynamic ET,9,15,0.9183673599945761,0.030467206324333338,3.4581497920007678
2017Q4,2024,ET-aug,9,15,0.918290931587778,0.030577637640666674,5.029486084007658
2017Q4,2024,BF-default,9,15,0.9112756404900288,0.03147844271739139,21.73981779201131
2017Q4,13,Dynamic ET,9,15,0.9191943418158423,0.03043093850433334,3.6835339999961434
2017Q4,13,ET-aug,9,15,0.9178350362598966,0.030646492930666683,5.53330266699777
2017Q4,13,BF-default,9,15,0.9110603215864551,0.031496935222946575,22.0035390839912
2018Q1,42,Dynamic ET,8,15,0.9139149238291752,0.03405463965999999,3.4512398329970893
2018Q1,42,ET-aug,8,15,0.9138475237557697,0.034151758423333345,5.107265333994292
2018Q1,42,BF-default,8,15,0.9003729480800475,0.035793596191820765,21.557866791001288
2018Q1,7,Dynamic ET,8,15,0.9135736985704445,0.034091315399333334,3.2150928330083843
2018Q1,7,ET-aug,8,15,0.9134045533391307,0.03416712622733334,4.961894249994657
2018Q1,7,BF-default,8,15,0.9006011470088524,0.03580678640820054,21.74696083299932
2018Q1,101,Dynamic ET,8,15,0.913743344294653,0.03407226181733332,3.3358197920024395
2018Q1,101,ET-aug,8,15,0.9137632731931529,0.03417326958933335,5.348122374998638
2018Q1,101,BF-default,8,15,0.9005096513527547,0.035842807174926036,21.51057587499963
2018Q1,2024,Dynamic ET,8,15,0.913579438311979,0.034118101651999994,3.3240400000067893
2018Q1,2024,ET-aug,8,15,0.9138480995270489,0.03417394940200002,4.98258004199306
2018Q1,2024,BF-default,8,15,0.900334661462136,0.03590905840012755,21.243102749998798
2018Q1,13,Dynamic ET,8,15,0.9140216561907231,0.03407383722933332,3.558350833001896
2018Q1,13,ET-aug,8,15,0.9140278280852469,0.034132838912000016,4.850885792009649
2018Q1,13,BF-default,8,15,0.9014093466740344,0.03573648184580282,21.453372832998866
2018Q2,42,Dynamic ET,8,15,0.937936458758364,0.030282104026666704,3.130281042002025
2018Q2,42,ET-aug,8,15,0.9377968255467564,0.02998033720733336,4.635455459007062
2018Q2,42,BF-default,8,15,0.9337859024946621,0.03204753716471374,21.198820958001306
2018Q2,7,Dynamic ET,8,15,0.9382314242087394,0.03026112118933338,3.3055191669991473
2018Q2,7,ET-aug,8,15,0.9378369004667434,0.030028269617333354,4.969213332995423
2018Q2,7,BF-default,8,15,0.9335275095310108,0.03210250711226741,21.170894625000074
2018Q2,101,Dynamic ET,8,15,0.9380770466498143,0.0302607755026667,3.231335750009748
2018Q2,101,ET-aug,8,15,0.9377020982588667,0.03003109229133337,4.871710874998826
2018Q2,101,BF-default,8,15,0.9338877103389214,0.03200061340328418,21.309311332996003
2018Q2,2024,Dynamic ET,8,15,0.9380019142443463,0.0302746173806667,3.4543302499951096
2018Q2,2024,ET-aug,8,15,0.9379679742424576,0.03005234078066669,4.826086375003797
2018Q2,2024,BF-default,8,15,0.9338731234093287,0.032094947578960094,22.393329832993913
2018Q2,13,Dynamic ET,8,15,0.9379413024481478,0.03025564829600003,3.3801030419999734
2018Q2,13,ET-aug,8,15,0.9380958668306644,0.030020546076666696,5.301526790994103
2018Q2,13,BF-default,8,15,0.9340044439653228,0.032067292882789374,22.181802042003255
2018Q3,42,Dynamic ET,7,15,0.939567293416633,0.031316422936666685,3.01761087498744
2018Q3,42,ET-aug,7,15,0.9393330346729889,0.0318390032426667,5.092511750000995
2018Q3,42,BF-default,7,15,0.9306523691947007,0.03280268418726779,22.0428929579939
2018Q3,7,Dynamic ET,7,15,0.9394162609250474,0.03122198828400003,3.157000709004933
2018Q3,7,ET-aug,7,15,0.9391935013170919,0.031853384657333374,5.012022125010844
2018Q3,7,BF-default,7,15,0.9301739999031423,0.03293110745967451,21.76877766700636
2018Q3,101,Dynamic ET,7,15,0.9396095898372436,0.031345078999333365,3.031087374998606
2018Q3,101,ET-aug,7,15,0.939768696275762,0.0317330361726667,5.521039083003416
2018Q3,101,BF-default,7,15,0.9302995317156008,0.03290360087979754,21.49775758301257
2018Q3,2024,Dynamic ET,7,15,0.9392563916242397,0.0313687065706667,3.129336833007983
2018Q3,2024,ET-aug,7,15,0.9393356138450646,0.03181556983733338,5.011024750012439
2018Q3,2024,BF-default,7,15,0.93094261494268,0.03280104902273054,21.19729716599977
2018Q3,13,Dynamic ET,7,15,0.9395363875399333,0.03131356528400001,2.9470754580106586
2018Q3,13,ET-aug,7,15,0.939294426407954,0.031873152722666706,4.698670166995726
2018Q3,13,BF-default,7,15,0.9302434606358188,0.033007234895847885,21.106944458006183
2018Q4,42,Dynamic ET,7,15,0.8458885186267247,0.062357740882666664,2.9477062079968164
2018Q4,42,ET-aug,7,15,0.8453846281913037,0.062455592740666664,4.918372667001677
2018Q4,42,BF-default,7,15,0.8326778491634464,0.06250397237864432,21.18792712499271
2018Q4,7,Dynamic ET,7,15,0.8456985218558648,0.062358369222,3.1150304170005256
2018Q4,7,ET-aug,7,15,0.8449600754468759,0.062512927754,4.778447791002691
2018Q4,7,BF-default,7,15,0.8310267451229507,0.06264846428774518,21.21951079199789
2018Q4,101,Dynamic ET,7,15,0.8455982849719048,0.062405917665999996,3.055071583003155
2018Q4,101,ET-aug,7,15,0.8447906873171707,0.06250380243733335,4.9476598750043195
2018Q4,101,BF-default,7,15,0.8312286394393128,0.06261856156490132,21.19615720800357
2018Q4,2024,Dynamic ET,7,15,0.8454913174267247,0.06238861071066666,2.981755291999434
2018Q4,2024,ET-aug,7,15,0.845302426731732,0.06245996334,4.96247816599498
2018Q4,2024,BF-default,7,15,0.8325276335156732,0.06257064143681292,21.22563108400209
2018Q4,13,Dynamic ET,7,15,0.8456508416029264,0.06233295960333333,3.053758166002808
2018Q4,13,ET-aug,7,15,0.845225452590448,0.06243760402266667,5.000572958990233
2018Q4,13,BF-default,7,15,0.8324711769456745,0.06251061089913712,21.666529084002832
2019Q1,42,Dynamic ET,7,15,0.9291436589524662,0.037347915353666675,3.005985124997096
2019Q1,42,ET-aug,7,15,0.9258188527085266,0.03952433348266667,4.866715166994254
2019Q1,42,BF-default,7,15,0.9270632691667948,0.03550259611828068,21.932579790998716
2019Q1,7,Dynamic ET,7,15,0.9295060778758785,0.03733429537233333,3.2574254579958506
2019Q1,7,ET-aug,7,15,0.9258299845720933,0.03953734497233334,4.805305834001047
2019Q1,7,BF-default,7,15,0.9266476184550739,0.03561063106431135,21.43824591599696
2019Q1,101,Dynamic ET,7,15,0.9291261142604226,0.037383106737666684,3.038359208003385
2019Q1,101,ET-aug,7,15,0.926196818726456,0.03946957366733335,5.46314741599781
2019Q1,101,BF-default,7,15,0.9265843630984701,0.0355905437201422,21.417222333999234
2019Q1,2024,Dynamic ET,7,15,0.9296086945459784,0.037350445728333334,2.941481374989962
2019Q1,2024,ET-aug,7,15,0.9259509915099786,0.039536516815000006,4.846827458997723
2019Q1,2024,BF-default,7,15,0.9266115565398902,0.035530216029787405,21.300075999999535
2019Q1,13,Dynamic ET,7,15,0.9296233390378816,0.03732410449033333,2.9732300420000684
2019Q1,13,ET-aug,7,15,0.9257311537312587,0.039535086824666665,4.777544750002562
2019Q1,13,BF-default,7,15,0.926871948791888,0.035483240456032135,21.27142879200983
2019Q2,42,Dynamic ET,7,15,0.9206489961931044,0.036251585657333364,2.973500916006742
2019Q2,42,ET-aug,7,15,0.9203078902282853,0.036609609963333366,4.98118941699795
2019Q2,42,BF-default,7,15,0.915138172567307,0.035693741792335386,21.295394542001304
2019Q2,7,Dynamic ET,7,15,0.9207398098830741,0.03622279226200003,2.934466082995641
2019Q2,7,ET-aug,7,15,0.9198150729784343,0.03666509001400003,5.2727683749981225
2019Q2,7,BF-default,7,15,0.9146115143781526,0.03573953721758244,21.385779999996885
2019Q2,101,Dynamic ET,7,15,0.9204924329791597,0.03626045604866669,2.9817694170051254
2019Q2,101,ET-aug,7,15,0.9196323352595862,0.03667896763133336,4.735384334009723
2019Q2,101,BF-default,7,15,0.9137415181426749,0.03578780001803637,21.361058459006017
2019Q2,2024,Dynamic ET,7,15,0.9205698771275999,0.036217869682666694,3.0877689170010854
2019Q2,2024,ET-aug,7,15,0.9199117545944057,0.03667069626400003,4.840114000005997
2019Q2,2024,BF-default,7,15,0.9137635004679929,0.03575169705887867,21.45497666700976
2019Q2,13,Dynamic ET,7,15,0.9210293578483002,0.036212385132000015,2.9176070839894237
2019Q2,13,ET-aug,7,15,0.9199081551089834,0.036628688012666694,5.135788916013553
2019Q2,13,BF-default,7,15,0.9145500107562343,0.03571173384316486,21.43968754199159
2019Q3,42,Dynamic ET,7,15,0.9276793392935597,0.02997203496833335,2.96676995800226
2019Q3,42,ET-aug,7,15,0.925981470541498,0.03059789759766668,4.965600541996537
2019Q3,42,BF-default,7,15,0.9265906876702117,0.029163242525478385,21.36154616699787
2019Q3,7,Dynamic ET,7,15,0.9278272584109656,0.029948381999666675,2.981084541999735
2019Q3,7,ET-aug,7,15,0.9257760984177821,0.030597049772000007,5.005883958001505
2019Q3,7,BF-default,7,15,0.926106966568958,0.029149926710164628,21.4059758749936
2019Q3,101,Dynamic ET,7,15,0.9277678324373894,0.02997142775133334,3.0388817909988575
2019Q3,101,ET-aug,7,15,0.925635668085628,0.030622687268333344,5.0425102500012144
2019Q3,101,BF-default,7,15,0.925414354544418,0.029250366491415707,21.514420541992877
2019Q3,2024,Dynamic ET,7,15,0.9280837829231771,0.029927217797333348,2.969868416999816
2019Q3,2024,ET-aug,7,15,0.9259714415301413,0.03056620084866668,4.89825870799541
2019Q3,2024,BF-default,7,15,0.9263868954155857,0.0291489400183663,21.22996854200028
2019Q3,13,Dynamic ET,7,15,0.9278799573724383,0.02993445059666668,2.9502460840012645
2019Q3,13,ET-aug,7,15,0.9259122185994942,0.030573174033333338,4.84997516599833
2019Q3,13,BF-default,7,15,0.9259855250475446,0.029205946957129282,21.269594500001404
2019Q4,42,Dynamic ET,7,15,0.9141615713095856,0.033204340625666635,3.069497667005635
2019Q4,42,ET-aug,7,15,0.9126177639343701,0.033659709730999965,4.692896207998274
2019Q4,42,BF-default,7,15,0.9079719112757856,0.03406931046660253,21.09890241699759
2019Q4,7,Dynamic ET,7,15,0.9142714527097496,0.033108426094999976,2.9633085840032436
2019Q4,7,ET-aug,7,15,0.91293049850222,0.03356614397799997,4.753953709005145
2019Q4,7,BF-default,7,15,0.9077621456199677,0.034119073584251924,21.096228249996784
