fold,n_train,features,d,M,model,r2,mae,fit_s
2017Q3,30000,d15,15,9,"BF-varsel, permuted blocks",0.915427106079985,0.03407648895970926,
2017Q3,30000,d19,19,11,Dynamic ET,0.9147098705501956,0.03431288488066665,4.035793959003058
2017Q3,30000,d19,19,11,BF-varsel,0.915927890356662,0.03420810448733334,67.51206758400076
2017Q3,30000,d19,19,11,"BF-varsel, permuted blocks",0.9144980845983796,0.03423603972199998,
2017Q3,30000,d23,23,11,Dynamic ET,0.9137375734578899,0.03432609494733332,4.282759374997113
2017Q3,30000,d23,23,11,BF-varsel,0.914732184658541,0.03429999135800001,69.6146126659878
2017Q3,30000,d23,23,11,"BF-varsel, permuted blocks",0.9138932837699657,0.03437655725933333,
2017Q4,3000,d15,15,9,Dynamic ET,0.9138622988286929,0.032292705547333246,0.7234025000070687
2017Q4,3000,d15,15,9,BF-varsel,0.8952156118247677,0.03424187858266663,3.3450520829937886
2017Q4,3000,d15,15,9,"BF-varsel, permuted blocks",0.8991287037731407,0.03414633559399995,
2017Q4,10000,d15,15,9,Dynamic ET,0.9257358031239447,0.03060431983933329,1.6123359999910463
2017Q4,10000,d15,15,9,BF-varsel,0.9237350062482453,0.03078527919733331,10.018452624994097
2017Q4,10000,d15,15,9,"BF-varsel, permuted blocks",0.9257203065260888,0.030615336516366658,
2017Q4,30000,d15,15,9,Dynamic ET,0.9231309544781099,0.030007294028999976,3.440666082999087
2017Q4,30000,d15,15,9,BF-varsel,0.9261839948781133,0.029712962516759304,29.262247083010152
2017Q4,30000,d15,15,9,"BF-varsel, permuted blocks",0.9264921720461794,0.02978330282879997,
2017Q4,30000,d19,19,10,Dynamic ET,0.92340991475068,0.029470416165999956,3.912474459008081
2017Q4,30000,d19,19,10,BF-varsel,0.9239582051157629,0.029506847140333307,62.479487749995315
2017Q4,30000,d19,19,10,"BF-varsel, permuted blocks",0.9225862553145425,0.02944787899633331,
2017Q4,30000,d23,23,10,Dynamic ET,0.9218676814233175,0.0294156935553333,3.991657666003448
2017Q4,30000,d23,23,10,BF-varsel,0.9227254032723035,0.029511795196999962,77.91643612500047
2017Q4,30000,d23,23,10,"BF-varsel, permuted blocks",0.9210297626175938,0.02957633294533329,
2018Q1,3000,d15,15,8,Dynamic ET,0.904573295695287,0.034983492031333344,1.606036708006286
2018Q1,3000,d15,15,8,BF-varsel,0.8962824001148979,0.0352506822748889,5.381935874989722
2018Q1,3000,d15,15,8,"BF-varsel, permuted blocks",0.9040514098735067,0.03496841895355556,
2018Q1,10000,d15,15,8,Dynamic ET,0.9072251160376379,0.033320772694666656,2.7476092919969233
2018Q1,10000,d15,15,8,BF-varsel,0.9015976872793418,0.03344434812297458,16.000764500000514
2018Q1,10000,d15,15,8,"BF-varsel, permuted blocks",0.9060220364268161,0.0334075611272841,
2018Q1,30000,d15,15,8,Dynamic ET,0.9093804434874129,0.03339057734633329,6.648738000003505
2018Q1,30000,d15,15,8,BF-varsel,0.9081706297668846,0.03303390486617134,46.002873542005545
2018Q1,30000,d15,15,8,"BF-varsel, permuted blocks",0.9085773363128431,0.0336121179911185,
2018Q1,30000,d19,19,9,Dynamic ET,0.9144747119208189,0.032705816328333304,7.193458250010735
2018Q1,30000,d19,19,9,BF-varsel,0.9167413655642764,0.03224627677133331,84.56123308399401
2018Q1,30000,d19,19,9,"BF-varsel, permuted blocks",0.9141404755652851,0.03292050175299995,
2018Q1,30000,d23,23,9,Dynamic ET,0.9133931698954378,0.03295636117366664,7.587006750007276
2018Q1,30000,d23,23,9,BF-varsel,0.9171950142691188,0.03205217524699996,86.45753787500144
2018Q1,30000,d23,23,9,"BF-varsel, permuted blocks",0.9160154344608217,0.03248852281033331,
2018Q2,3000,d15,15,8,Dynamic ET,0.9113709401695421,0.03448043072133334,1.4035468749934807
2018Q2,3000,d15,15,8,BF-varsel,0.9011767883793573,0.035855175692333346,4.8084873750049155
2018Q2,3000,d15,15,8,"BF-varsel, permuted blocks",0.9099548440063219,0.03516079255933331,
2018Q2,10000,d15,15,8,Dynamic ET,0.9264578383327665,0.032052485454666685,2.8536490420083283
2018Q2,10000,d15,15,8,BF-varsel,0.9241761743506945,0.032693296660166675,14.34692837500188
2018Q2,10000,d15,15,8,"BF-varsel, permuted blocks",0.9249535101053235,0.032507986828000025,
2018Q2,30000,d15,15,8,Dynamic ET,0.9398409628156646,0.02965879657599998,6.886606333006057
2018Q2,30000,d15,15,8,BF-varsel,0.9391193565729211,0.030024978982560197,40.543793542005005
2018Q2,30000,d15,15,8,"BF-varsel, permuted blocks",0.9389204697666704,0.030235666240222205,
2018Q2,30000,d19,19,9,Dynamic ET,0.9400366393121188,0.029433355410666613,7.760257583009661
2018Q2,30000,d19,19,9,BF-varsel,0.941510263496146,0.0288407994326666,81.1548377500003
2018Q2,30000,d19,19,9,"BF-varsel, permuted blocks",0.9409111878367056,0.028939785529666594,
2018Q2,30000,d23,23,9,Dynamic ET,0.9397509704457064,0.02958038031466662,7.170807957998477
2018Q2,30000,d23,23,9,BF-varsel,0.9406930631799324,0.02897200620199994,87.7723125830089
2018Q2,30000,d23,23,9,"BF-varsel, permuted blocks",0.9386115530652518,0.029741073345333286,
2018Q3,3000,d15,15,7,Dynamic ET,0.913958121941871,0.03355451373000006,1.769387459004065
2018Q3,3000,d15,15,7,BF-varsel,0.9060493159247669,0.035077857102888944,5.283438665996073
2018Q3,3000,d15,15,7,"BF-varsel, permuted blocks",0.9089713773395801,0.034983510763000096,
2018Q3,10000,d15,15,7,Dynamic ET,0.9278399577620481,0.03155615436066666,2.5854795000050217
2018Q3,10000,d15,15,7,BF-varsel,0.9205471762645467,0.03300972399264443,14.747708082999452
2018Q3,10000,d15,15,7,"BF-varsel, permuted blocks",0.9254115432557275,0.032824594589333324,
2018Q3,30000,d15,15,7,Dynamic ET,0.9358999383080244,0.03111771227533338,6.510794415997225
2018Q3,30000,d15,15,7,BF-varsel,0.9323385671898885,0.03203438673937074,42.41388195900072
2018Q3,30000,d15,15,7,"BF-varsel, permuted blocks",0.9351140456994242,0.03210722199300005,
2018Q3,30000,d19,19,8,Dynamic ET,0.9367153624486231,0.031015771104000046,7.053141999989748
2018Q3,30000,d19,19,8,BF-varsel,0.9354439491926332,0.0317090271406667,79.76058445799572
2018Q3,30000,d19,19,8,"BF-varsel, permuted blocks",0.9394243681717157,0.02963209457666672,
2018Q3,30000,d23,23,8,Dynamic ET,0.9377241041505916,0.0305496602006667,6.900370999996085
2018Q3,30000,d23,23,8,BF-varsel,0.93465926910882,0.03152130787533337,80.51309716700052
2018Q3,30000,d23,23,8,"BF-varsel, permuted blocks",0.9386211509437591,0.0296079738726667,
2018Q4,3000,d15,15,7,Dynamic ET,0.8257805128286313,0.06445594714466657,1.6589120409917086
2018Q4,3000,d15,15,7,BF-varsel,0.8168212992887864,0.06485081384111101,5.504168542000116
2018Q4,3000,d15,15,7,"BF-varsel, permuted blocks",0.8172130750838614,0.06481239158166655,
2018Q4,10000,d15,15,7,Dynamic ET,0.8425444119323212,0.06315749347933328,2.4840392920013983
2018Q4,10000,d15,15,7,BF-varsel,0.8397108874832987,0.06302611012476976,15.143642417009687
2018Q4,10000,d15,15,7,"BF-varsel, permuted blocks",0.83972870146986,0.0630034204549501,
