fold,model,region,n,r2,mae
2017Q4,BF-corr,ITM,2221,0.7308795612540089,0.027753825670028813
2017Q4,BF-corr,deep_ITM,3752,0.8827880055498198,0.05727223377735267
2018Q1,Dynamic ET,deep_OTM,4819,0.9830336292061558,0.018644439809088906
2018Q1,Dynamic ET,OTM,2796,0.6115134480471796,0.027062399141630923
2018Q1,Dynamic ET,ATM,1270,-0.1315105978123321,0.03645376398425197
2018Q1,Dynamic ET,ITM,2228,0.7209337196810067,0.0316467595601436
2018Q1,Dynamic ET,deep_ITM,3887,0.878297592215936,0.05878577589400576
2018Q1,ET-aug,deep_OTM,4819,0.9831898724589608,0.01881675369578741
2018Q1,ET-aug,OTM,2796,0.6180158900551604,0.027010045042918502
2018Q1,ET-aug,ATM,1270,-0.061858645106793064,0.03610745056692915
2018Q1,ET-aug,ITM,2228,0.7206869113251017,0.031755368442549364
2018Q1,ET-aug,deep_ITM,3887,0.8773110623733085,0.059035485268844994
2018Q1,BF-varsel,deep_OTM,4819,0.9780640396245227,0.019181195820713606
2018Q1,BF-varsel,OTM,2796,0.6199144221861599,0.026693191585010812
2018Q1,BF-varsel,ATM,1270,-0.14942280842629962,0.036297750447506556
2018Q1,BF-varsel,ITM,2228,0.7265010061678923,0.03154598300344104
2018Q1,BF-varsel,deep_ITM,3887,0.8798331056415581,0.05845951818840595
2018Q1,BF-corr,deep_OTM,4819,0.9799936112997568,0.01795976547609108
2018Q1,BF-corr,OTM,2796,0.6269246841298539,0.026323702089220788
2018Q1,BF-corr,ATM,1270,-0.11475191263658058,0.035906899910450846
2018Q1,BF-corr,ITM,2228,0.7284142686622477,0.031555086757328404
2018Q1,BF-corr,deep_ITM,3887,0.8779785830193924,0.05783488693697593
2018Q2,Dynamic ET,deep_OTM,5147,0.9881409376911033,0.01751436258597245
2018Q2,Dynamic ET,OTM,2801,0.7440900401715904,0.026396684494823224
2018Q2,Dynamic ET,ATM,1265,0.38956133597193887,0.030033948205533657
2018Q2,Dynamic ET,ITM,2231,0.7777095389873911,0.031037935311519632
2018Q2,Dynamic ET,deep_ITM,3556,0.9077079515677385,0.051436851726659204
2018Q2,ET-aug,deep_OTM,5147,0.9882707978956152,0.017227403345638256
2018Q2,ET-aug,OTM,2801,0.750118495877826,0.025981536337022448
2018Q2,ET-aug,ATM,1265,0.4181888232094193,0.028883545762845856
2018Q2,ET-aug,ITM,2231,0.7804035089899406,0.030533840439265044
2018Q2,ET-aug,deep_ITM,3556,0.9067722473744414,0.051631790326209265
2018Q2,BF-varsel,deep_OTM,5147,0.9874825990367017,0.018123627563886937
2018Q2,BF-varsel,OTM,2801,0.7496663073310259,0.026172092613289
2018Q2,BF-varsel,ATM,1265,0.3832206242207339,0.03027720390579717
2018Q2,BF-varsel,ITM,2231,0.7770812663313568,0.03144234015314523
2018Q2,BF-varsel,deep_ITM,3556,0.9097652211698646,0.050882001815710586
2018Q2,BF-corr,deep_OTM,5147,0.9863155955334066,0.01845149463904709
2018Q2,BF-corr,OTM,2801,0.7609183144005065,0.02549940546390913
2018Q2,BF-corr,ATM,1265,0.40562664777318014,0.029309546492159503
2018Q2,BF-corr,ITM,2231,0.7826179760414431,0.030804733274602456
2018Q2,BF-corr,deep_ITM,3556,0.909082236113766,0.051455630029266376
2018Q3,Dynamic ET,deep_OTM,4867,0.9773841078897153,0.02060269050749951
2018Q3,Dynamic ET,OTM,3018,0.6430133017719095,0.027895674612326046
2018Q3,Dynamic ET,ATM,1444,-0.19423505883239534,0.0319095741966759
2018Q3,Dynamic ET,ITM,2321,0.7950980947406768,0.029354394131839694
2018Q3,Dynamic ET,deep_ITM,3350,0.9194622515710916,0.05106714311940306
2018Q3,ET-aug,deep_OTM,4867,0.9766322377502097,0.021192113534004575
2018Q3,ET-aug,OTM,3018,0.626561977665604,0.02879089837972167
2018Q3,ET-aug,ATM,1444,-0.27166835712797055,0.0332225751869806
2018Q3,ET-aug,ITM,2321,0.7926402983929866,0.029624569405428663
2018Q3,ET-aug,deep_ITM,3350,0.92047295002278,0.050991067641791135
2018Q3,BF-varsel,deep_OTM,4867,0.9749723473448864,0.021541780334626573
2018Q3,BF-varsel,OTM,3018,0.6328768191851639,0.028418985608772027
2018Q3,BF-varsel,ATM,1444,-0.11718008810474956,0.03094796986723392
2018Q3,BF-varsel,ITM,2321,0.7793745648885587,0.030381997692804818
2018Q3,BF-varsel,deep_ITM,3350,0.916675380710923,0.05269265422288561
2018Q3,BF-corr,deep_OTM,4867,0.9801473423689235,0.018684754143732222
2018Q3,BF-corr,OTM,3018,0.6497120993895746,0.02688283068750495
2018Q3,BF-corr,ATM,1444,-0.10356976889090141,0.03087657085686136
2018Q3,BF-corr,ITM,2321,0.8067340895737337,0.028492832256064676
2018Q3,BF-corr,deep_ITM,3350,0.916252437799348,0.05034568336628072
2018Q4,Dynamic ET,deep_OTM,5292,0.9250663482768773,0.0420972656405896
2018Q4,Dynamic ET,OTM,2827,-0.13170537439939456,0.06919405155288288
2018Q4,Dynamic ET,ATM,1242,-1.3591669441478205,0.08497827366344603
2018Q4,Dynamic ET,ITM,2211,0.15811997238340103,0.07146087522388062
2018Q4,Dynamic ET,deep_ITM,3428,0.8832790057781342,0.07393021841306881
2018Q4,ET-aug,deep_OTM,5292,0.9253244441299825,0.042069821842403654
2018Q4,ET-aug,OTM,2827,-0.12403165923332082,0.0689405172621153
2018Q4,ET-aug,ATM,1242,-1.4224220435190942,0.08598345053140093
2018Q4,ET-aug,ITM,2211,0.1511130130396029,0.0717359577792854
2018Q4,ET-aug,deep_ITM,3428,0.8831577322008795,0.07406823320011666
2018Q4,BF-varsel,deep_OTM,5292,0.9262047552295207,0.0415919008485768
