fold,model,d,M_blocks,n_train,n_test,r2,mae,rmse,secs
2019Q1,ET-aug (ablation),15,7,30000,15000,0.9258188527085266,0.03952433348266668,0.06811591299635816,5.519549582968466
2019Q1,ET,7,7,30000,15000,0.9231110427448194,0.04050927826866667,0.06934797672283076,3.184875542006921
2019Q1,RF,7,7,30000,15000,0.9100659613149411,0.04157829452117736,0.0750004479968721,1.6963184580090456
2019Q1,GBR,7,7,30000,15000,0.9160580345689462,0.043997666579296574,0.07245883981256862,6.5919464160106145
2019Q1,Linear,7,7,30000,15000,0.3006091556135737,0.11985524591195781,0.20915188377996993,0.002455625042784959
2019Q2,Dynamic ET (ours),15,7,30000,15000,0.9206489961931044,0.036251585657333364,0.0691889418064013,2.847810457984451
2019Q2,ET-aug (ablation),15,7,30000,15000,0.9203078902282853,0.036609609963333366,0.06933749349985058,5.44533345894888
2019Q2,ET,7,7,30000,15000,0.9184341746166974,0.03664316059133337,0.07014788697515159,3.7120184999657795
2019Q2,RF,7,7,30000,15000,0.9153353324736428,0.037341429353629975,0.07146799190663584,1.913184875040315
2019Q2,GBR,7,7,30000,15000,0.9118486130879021,0.03996383562574346,0.07292476708642334,6.593653959047515
2019Q2,Linear,7,7,30000,15000,0.30822773841808193,0.11222283376273694,0.20428761954168748,0.002037875005044043
2019Q3,Dynamic ET (ours),15,7,30000,15000,0.9276793392935597,0.02997203496833335,0.05410158152763606,2.800671915989369
2019Q3,ET-aug (ablation),15,7,30000,15000,0.925981470541498,0.030597897597666682,0.05473296741503763,6.154404500033706
2019Q3,ET,7,7,30000,15000,0.923895746173601,0.031045286672000006,0.05549875418911588,3.915337249985896
2019Q3,RF,7,7,30000,15000,0.9284388945800645,0.029432096896125255,0.05381672787411932,2.0485037500038743
2019Q3,GBR,7,7,30000,15000,0.9177035008354746,0.034580130856894736,0.05771244169253884,6.580796499969438
2019Q3,Linear,7,7,30000,15000,0.33843670130150316,0.09946945652480038,0.1636305801918805,0.003129458986222744
2019Q4,Dynamic ET (ours),15,7,30000,15000,0.9141615713095856,0.03320434062566664,0.06242112953362618,3.0512565830140375
2019Q4,ET-aug (ablation),15,7,30000,15000,0.9126177639343701,0.033659709730999965,0.06297995130648236,6.546888791024685
2019Q4,ET,7,7,30000,15000,0.9141508081068811,0.03270695809499999,0.06242504287536067,3.8242869589594193
2019Q4,RF,7,7,30000,15000,0.9174510154858916,0.033968914058485566,0.061213415331764595,1.9609792499686591
2019Q4,GBR,7,7,30000,15000,0.9175666733486412,0.03392281925018482,0.06117051780602174,6.665848042001016
2019Q4,Linear,7,7,30000,15000,0.3261819411361607,0.10513331328150168,0.17488882772607306,0.0037319170078262687
2020Q1,Dynamic ET (ours),15,7,30000,15000,0.6320320598156035,0.09775645245066668,0.16022890191243422,2.7128266250365414
2020Q1,ET-aug (ablation),15,7,30000,15000,0.6295584910125774,0.09839996196266666,0.1607665484446616,6.3629350830451585
2020Q1,ET,7,7,30000,15000,0.6007216270851319,0.10213968065000008,0.16690669558322696,3.7574836250278167
2020Q1,RF,7,7,30000,15000,0.6241080285355953,0.09971977153268162,0.1619449428039603,2.032427124970127
2020Q1,GBR,7,7,30000,15000,0.6196502096949159,0.10239050769937418,0.1629023900209691,6.61263254203368
2020Q1,Linear,7,7,30000,15000,0.20466714502790162,0.14275024477128487,0.23556476315003805,0.0020997499814257026
2020Q2,Dynamic ET (ours),15,7,30000,15000,0.8862312640923662,0.06091069515666667,0.09235895314647512,2.882421415997669
2020Q2,ET-aug (ablation),15,7,30000,15000,0.8839545470260743,0.061295361563333345,0.09327850983854932,6.371744250005577
2020Q2,ET,7,7,30000,15000,0.8815764760771473,0.06098300867266665,0.09422942163588052,3.8710387079627253
2020Q2,RF,7,7,30000,15000,0.8825423073552758,0.06194456729419591,0.0938443796984032,1.9130976669839583
2020Q2,GBR,7,7,30000,15000,0.8728899435923392,0.06830118796570114,0.09762420070235159,6.720153708010912
2020Q2,Linear,7,7,30000,15000,0.40272089788705634,0.11782055700839189,0.21161974915000206,0.003561624966096133
2020Q3,Dynamic ET (ours),15,7,30000,15000,0.7496315150089418,0.09319133462266672,0.13273239262103181,2.728678957966622
2020Q3,ET-aug (ablation),15,7,30000,15000,0.7415282717941798,0.09413129797600005,0.13486324824150878,5.652491624990944
2020Q3,ET,7,7,30000,15000,0.7589584684796513,0.0902332687400001,0.13023659445450692,3.6574259160552174
2020Q3,RF,7,7,30000,15000,0.7199481539619303,0.09708562201594997,0.14038034720273945,1.95191129099112
2020Q3,GBR,7,7,30000,15000,0.745058761475724,0.09132487872181293,0.13393902647679656,6.846149541030172
2020Q3,Linear,7,7,30000,15000,0.18110308784227336,0.14786191597556111,0.2400499993226366,0.001949166995473206
2020Q4,Dynamic ET (ours),15,8,30000,15000,0.7329924764609901,0.0893411636140002,0.12058974595922045,3.2396745000150986
2020Q4,ET-aug (ablation),15,8,30000,15000,0.7134850244819475,0.09362991823600021,0.12491721527723963,5.535162207961548
2020Q4,ET,7,8,30000,15000,0.7002449344636368,0.09610251257000026,0.1277708830623582,3.5967537910328247
2020Q4,RF,7,8,30000,15000,0.7014565830373155,0.09547198108411212,0.12751238839962423,1.9208114999928512
2020Q4,GBR,7,8,30000,15000,0.7143076137591458,0.0940005382561264,0.12473776667959541,6.902305083989631
2020Q4,Linear,7,8,30000,15000,0.2586887785290134,0.12028329571717113,0.20093191252002846,0.00196133297868073
