fold,seed,model,r2,mae,secs
2017Q4,42,ET-aug,0.9171023674546368,0.0306537746913333,4.9483992909954395
2017Q4,42,BF-default,0.9111528354222612,0.0315101484246702,21.718823249990237
2017Q4,7,Dynamic ET,0.9192852125323376,0.030418380479,3.5153270839946344
2017Q4,7,ET-aug,0.9179292335480536,0.0305828809183333,4.94680133399379
2017Q4,7,BF-default,0.9119649031987052,0.0314359785716342,21.462088375003077
2017Q4,101,Dynamic ET,0.9190028321850352,0.0304392276086666,3.4298272910091328
2017Q4,101,ET-aug,0.9177077093236116,0.030645065057,4.9866725410101935
2017Q4,101,BF-default,0.9108682276839144,0.0314662275713813,22.075375083004474
2017Q4,2024,Dynamic ET,0.918367359994576,0.0304672063243333,3.458149792000768
2017Q4,2024,ET-aug,0.918290931587778,0.0305776376406666,5.029486084007658
2017Q4,2024,BF-default,0.9112756404900288,0.0314784427173913,21.73981779201131
2017Q4,13,Dynamic ET,0.9191943418158424,0.0304309385043333,3.6835339999961434
2017Q4,13,ET-aug,0.9178350362598966,0.0306464929306666,5.53330266699777
2017Q4,13,BF-default,0.9110603215864552,0.0314969352229465,22.0035390839912
2018Q1,42,Dynamic ET,0.9139149238291752,0.0340546396599999,3.4512398329970893
2018Q1,42,ET-aug,0.9138475237557696,0.0341517584233333,5.107265333994292
2018Q1,42,BF-default,0.9003729480800475,0.0357935961918207,21.557866791001288
2018Q1,7,Dynamic ET,0.9135736985704443,0.0340913153993333,3.2150928330083843
2018Q1,7,ET-aug,0.9134045533391308,0.0341671262273333,4.961894249994657
2018Q1,7,BF-default,0.9006011470088524,0.0358067864082005,21.74696083299932
2018Q1,101,Dynamic ET,0.913743344294653,0.0340722618173333,3.3358197920024395
2018Q1,101,ET-aug,0.9137632731931528,0.0341732695893333,5.348122374998638
2018Q1,101,BF-default,0.9005096513527547,0.035842807174926,21.51057587499963
2018Q1,2024,Dynamic ET,0.913579438311979,0.0341181016519999,3.3240400000067893
2018Q1,2024,ET-aug,0.9138480995270488,0.034173949402,4.98258004199306
2018Q1,2024,BF-default,0.900334661462136,0.0359090584001275,21.2431027499988
2018Q1,13,Dynamic ET,0.9140216561907232,0.0340738372293333,3.558350833001896
2018Q1,13,ET-aug,0.9140278280852469,0.034132838912,4.850885792009649
2018Q1,13,BF-default,0.9014093466740344,0.0357364818458028,21.453372832998863
2018Q2,42,Dynamic ET,0.937936458758364,0.0302821040266667,3.130281042002025
2018Q2,42,ET-aug,0.9377968255467564,0.0299803372073333,4.635455459007062
2018Q2,42,BF-default,0.933785902494662,0.0320475371647137,21.198820958001303
2018Q2,7,Dynamic ET,0.9382314242087394,0.0302611211893333,3.3055191669991473
2018Q2,7,ET-aug,0.9378369004667434,0.0300282696173333,4.969213332995423
2018Q2,7,BF-default,0.9335275095310108,0.0321025071122674,21.170894625000074
2018Q2,101,Dynamic ET,0.9380770466498144,0.0302607755026667,3.231335750009748
2018Q2,101,ET-aug,0.9377020982588667,0.0300310922913333,4.871710874998826
2018Q2,101,BF-default,0.9338877103389214,0.0320006134032841,21.309311332996003
2018Q2,2024,Dynamic ET,0.9380019142443464,0.0302746173806667,3.4543302499951096
2018Q2,2024,ET-aug,0.9379679742424576,0.0300523407806666,4.826086375003797
2018Q2,2024,BF-default,0.9338731234093288,0.03209494757896,22.393329832993913
2018Q2,13,Dynamic ET,0.9379413024481478,0.030255648296,3.380103041999974
2018Q2,13,ET-aug,0.9380958668306644,0.0300205460766666,5.301526790994103
2018Q2,13,BF-default,0.9340044439653228,0.0320672928827893,22.181802042003255
2018Q3,42,Dynamic ET,0.939567293416633,0.0313164229366666,3.01761087498744
2018Q3,42,ET-aug,0.9393330346729888,0.0318390032426667,5.092511750000995
2018Q3,42,BF-default,0.9306523691947008,0.0328026841872677,22.0428929579939
2018Q3,7,Dynamic ET,0.9394162609250474,0.031221988284,3.157000709004933
2018Q3,7,ET-aug,0.939193501317092,0.0318533846573333,5.012022125010844
2018Q3,7,BF-default,0.9301739999031424,0.0329311074596745,21.76877766700636
2018Q3,101,Dynamic ET,0.9396095898372436,0.0313450789993333,3.031087374998606
2018Q3,101,ET-aug,0.939768696275762,0.0317330361726667,5.521039083003416
2018Q3,101,BF-default,0.9302995317156008,0.0329036008797975,21.49775758301257
2018Q3,2024,Dynamic ET,0.9392563916242396,0.0313687065706667,3.129336833007983
2018Q3,2024,ET-aug,0.9393356138450646,0.0318155698373333,5.011024750012439
2018Q3,2024,BF-default,0.93094261494268,0.0328010490227305,21.19729716599977
2018Q3,13,Dynamic ET,0.9395363875399332,0.031313565284,2.9470754580106586
2018Q3,13,ET-aug,0.939294426407954,0.0318731527226667,4.698670166995726
2018Q3,13,BF-default,0.9302434606358188,0.0330072348958478,21.106944458006183
2018Q4,42,Dynamic ET,0.8458885186267247,0.0623577408826666,2.9477062079968164
2018Q4,42,ET-aug,0.8453846281913037,0.0624555927406666,4.918372667001677
2018Q4,42,BF-default,0.8326778491634464,0.0625039723786443,21.18792712499271
2018Q4,7,Dynamic ET,0.8456985218558648,0.062358369222,3.1150304170005256
2018Q4,7,ET-aug,0.8449600754468759,0.062512927754,4.778447791002691
2018Q4,7,BF-default,0.8310267451229507,0.0626484642877451,21.21951079199789
2018Q4,101,Dynamic ET,0.8455982849719048,0.0624059176659999,3.055071583003155
2018Q4,101,ET-aug,0.8447906873171707,0.0625038024373333,4.9476598750043195
2018Q4,101,BF-default,0.8312286394393128,0.0626185615649013,21.19615720800357
2018Q4,2024,Dynamic ET,0.8454913174267247,0.0623886107106666,2.981755291999434
2018Q4,2024,ET-aug,0.845302426731732,0.06245996334,4.96247816599498
2018Q4,2024,BF-default,0.8325276335156732,0.0625706414368129,21.22563108400209
2018Q4,13,Dynamic ET,0.8456508416029264,0.0623329596033333,3.053758166002808
2018Q4,13,ET-aug,0.845225452590448,0.0624376040226666,5.000572958990233
2018Q4,13,BF-default,0.8324711769456745,0.0625106108991371,21.666529084002832
2019Q1,42,Dynamic ET,0.9291436589524662,0.0373479153536666,3.005985124997096
2019Q1,42,ET-aug,0.9258188527085266,0.0395243334826666,4.866715166994254
2019Q1,42,BF-default,0.9270632691667948,0.0355025961182806,21.932579790998716
2019Q1,7,Dynamic ET,0.9295060778758784,0.0373342953723333,3.2574254579958506
2019Q1,7,ET-aug,0.9258299845720932,0.0395373449723333,4.805305834001047
2019Q1,7,BF-default,0.926647618455074,0.0356106310643113,21.43824591599696
2019Q1,101,Dynamic ET,0.9291261142604226,0.0373831067376666,3.038359208003385
2019Q1,101,ET-aug,0.926196818726456,0.0394695736673333,5.46314741599781
2019Q1,101,BF-default,0.92658436309847,0.0355905437201422,21.41722233399923
2019Q1,2024,Dynamic ET,0.9296086945459784,0.0373504457283333,2.941481374989962
2019Q1,2024,ET-aug,0.9259509915099786,0.039536516815,4.846827458997723
2019Q1,2024,BF-default,0.9266115565398902,0.0355302160297874,21.300075999999535
2019Q1,13,Dynamic ET,0.9296233390378816,0.0373241044903333,2.9732300420000684
2019Q1,13,ET-aug,0.9257311537312588,0.0395350868246666,4.777544750002562
2019Q1,13,BF-default,0.926871948791888,0.0354832404560321,21.27142879200983
2019Q2,42,Dynamic ET,0.9206489961931044,0.0362515856573333,2.973500916006742
2019Q2,42,ET-aug,0.9203078902282852,0.0366096099633333,4.98118941699795
2019Q2,42,BF-default,0.915138172567307,0.0356937417923353,21.295394542001304
2019Q2,7,Dynamic ET,0.920739809883074,0.036222792262,2.934466082995641
