setting,seed,dataset,model,region,n,M,r2,mae,cfg
transfer,101,"12,110 American",ET,all,11563,,-0.19765393829664313,0.1460307120882124,"{'max_features': 0.5, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,101,"12,110 American",ET,deep OTM,2524,,0.06610661476580026,0.13593402505110935,
transfer,101,"12,110 American",ET,OTM,1812,,-0.3948252645308914,0.13358238628421634,
transfer,101,"12,110 American",ET,ATM,1934,,-1.019129270343225,0.1351244047807654,
transfer,101,"12,110 American",ET,ITM,1586,,-0.5645927893818738,0.13934676955170228,
transfer,101,"12,110 American",ET,deep ITM,3707,,-0.5026431548659793,0.167539731681953,
transfer,101,held out,RF,all,893,,0.6764367748157247,0.06734181082493468,"{'max_features': 0.5, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,101,held out,RF,OTM,278,,0.6927741056503498,0.06588139772182258,
transfer,101,held out,RF,ATM,320,,0.8320363546034802,0.04572017312499999,
transfer,101,held out,RF,ITM,273,,0.6028600799057984,0.08376536446886444,
transfer,101,2017 European,RF,all,1700,,-0.659698255487372,0.136077133372549,"{'max_features': 0.5, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,101,2017 European,RF,OTM,412,,-0.10595982950116478,0.10849141245954685,
transfer,101,2017 European,RF,ATM,772,,-1.1791614434560937,0.14027430708117442,
transfer,101,2017 European,RF,ITM,494,,-0.7044598546774716,0.1524532950067477,
transfer,101,"12,110 American",RF,all,11563,,-0.5514354959190575,0.1564969876755167,"{'max_features': 0.5, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,101,"12,110 American",RF,deep OTM,2524,,-0.0716428336050059,0.1434836237925251,
transfer,101,"12,110 American",RF,OTM,1812,,-1.4596699057565758,0.15726018884713025,
transfer,101,"12,110 American",RF,ATM,1934,,-2.5782874285995616,0.1577483755115477,
transfer,101,"12,110 American",RF,ITM,1586,,-1.1976619163931512,0.15495848121164352,
transfer,101,"12,110 American",RF,deep ITM,3707,,-0.471700182282788,0.16498975732604979,
transfer,2024,held out,Dynamic ET,all,893,9.0,0.5056704959022377,0.08580481315963853,"{'tau': 0.8, 'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 5}"
transfer,2024,held out,Dynamic ET,OTM,253,9.0,0.41997762156851315,0.09027437838644346,
transfer,2024,held out,Dynamic ET,ATM,323,9.0,0.614319082270067,0.06571909539185444,
transfer,2024,held out,Dynamic ET,ITM,294,9.0,0.42710762050961837,0.10045298219484255,
transfer,2024,2017 European,Dynamic ET,all,1700,9.0,-0.34465760457397465,0.1266689737483302,"{'tau': 0.8, 'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 5}"
transfer,2024,2017 European,Dynamic ET,OTM,412,9.0,0.13969528630970984,0.10275910198305398,
transfer,2024,2017 European,Dynamic ET,ATM,772,9.0,-0.7930496640110711,0.13373810055973565,
transfer,2024,2017 European,Dynamic ET,ITM,494,9.0,-0.3852944656091064,0.13597703496478986,
transfer,2024,"12,110 American",Dynamic ET,all,11563,9.0,-0.12289736497615444,0.14365600617003174,"{'tau': 0.8, 'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 5}"
transfer,2024,"12,110 American",Dynamic ET,deep OTM,2524,9.0,0.08803777198383456,0.13432049812666946,
transfer,2024,"12,110 American",Dynamic ET,OTM,1812,9.0,-0.13256162179681708,0.12510673741025008,
transfer,2024,"12,110 American",Dynamic ET,ATM,1934,9.0,-0.3973456483092608,0.11902086022501522,
transfer,2024,"12,110 American",Dynamic ET,ITM,1586,9.0,-0.2635693610028673,0.12521705133023742,
transfer,2024,"12,110 American",Dynamic ET,deep ITM,3707,9.0,-0.651256633865902,0.1798207355813472,
transfer,2024,held out,ET-aug,all,893,,0.5455647913984811,0.08175211401735868,"{'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 5}"
transfer,2024,held out,ET-aug,OTM,253,,0.4396179062302449,0.08706884634431221,
transfer,2024,held out,ET-aug,ATM,323,,0.6641120372933826,0.0621287648436938,
transfer,2024,held out,ET-aug,ITM,294,,0.46846622504486257,0.09556673984142214,
transfer,2024,2017 European,ET-aug,all,1700,,-0.4468477663556403,0.13001248206899638,"{'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 5}"
transfer,2024,2017 European,ET-aug,OTM,412,,0.0692555688626062,0.10542588430042192,
transfer,2024,2017 European,ET-aug,ATM,772,,-0.9593495226259978,0.13791627207731025,
transfer,2024,2017 European,ET-aug,ITM,494,,-0.4547094866063828,0.13882835099099813,
transfer,2024,"12,110 American",ET-aug,all,11563,,-0.17994515606762218,0.14629785653992047,"{'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 5}"
transfer,2024,"12,110 American",ET-aug,deep OTM,2524,,0.03253007588900769,0.13792794795910562,
transfer,2024,"12,110 American",ET-aug,OTM,1812,,-0.24711749314043274,0.1295981997014341,
transfer,2024,"12,110 American",ET-aug,ATM,1934,,-0.5760287798789396,0.12596082562404323,
transfer,2024,"12,110 American",ET-aug,ITM,1586,,-0.3574539761484896,0.1296186753725353,
transfer,2024,"12,110 American",ET-aug,deep ITM,3707,,-0.6663274618958801,0.1779057406974855,
transfer,2024,held out,ET,all,893,,0.6242544093370893,0.07191174387457999,"{'max_features': 0.7, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,2024,held out,ET,OTM,253,,0.5600989700684844,0.07597522162055347,
transfer,2024,held out,ET,ATM,323,,0.7523592133559993,0.053196066470588055,
transfer,2024,held out,ET,ITM,294,,0.5259126965191476,0.08591624653061215,
transfer,2024,2017 European,ET,all,1700,,-0.4976395125386708,0.13006259250588217,"{'max_features': 0.7, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,2024,2017 European,ET,OTM,412,,-0.013125961597334479,0.10557077485436878,
transfer,2024,2017 European,ET,ATM,772,,-0.9752451390606882,0.13415018173575124,
transfer,2024,2017 European,ET,ITM,494,,-0.5188589397261798,0.14433550147773236,
transfer,2024,"12,110 American",ET,all,11563,,-0.1630050210334777,0.14496601335120637,"{'max_features': 0.7, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,2024,"12,110 American",ET,deep OTM,2524,,0.08441806431851906,0.13492412776426316,
transfer,2024,"12,110 American",ET,OTM,1812,,-0.3921104794852106,0.1341744988990066,
transfer,2024,"12,110 American",ET,ATM,1934,,-0.7876340680981087,0.13043176091313344,
transfer,2024,"12,110 American",ET,ITM,1586,,-0.5043055592669299,0.1361042307194197,
transfer,2024,"12,110 American",ET,deep ITM,3707,,-0.4932224430606307,0.16845238369867804,
transfer,2024,held out,RF,all,893,,0.6629223763190815,0.06721152672639048,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,2024,held out,RF,OTM,253,,0.6367760302078654,0.06845316337285913,
transfer,2024,held out,RF,ATM,323,,0.678443702009025,0.054927408978328165,
transfer,2024,held out,RF,ITM,294,,0.6428026817020369,0.07731822573696148,
transfer,2024,2017 European,RF,all,1700,,-0.7227692916209358,0.13677300747058824,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,2024,2017 European,RF,OTM,412,,-0.16735567360151227,0.11016621326860838,
transfer,2024,2017 European,RF,ATM,772,,-1.3162055791765255,0.14282697685664938,
transfer,2024,2017 European,RF,ITM,494,,-0.7017622452276715,0.15040134385964912,
transfer,2024,"12,110 American",RF,all,11563,,-0.8081134644200771,0.1634635360349967,"{'max_features': 1.0, 'min_samples_leaf': 1, 'max_depth': None, 'min_samples_split': 2}"
transfer,2024,"12,110 American",RF,deep OTM,2524,,-0.2910372970242625,0.14843817529595882,
transfer,2024,"12,110 American",RF,OTM,1812,,-1.9683286285219408,0.16546740445529803,
transfer,2024,"12,110 American",RF,ATM,1934,,-3.075955148411781,0.1646232827783523,
transfer,2024,"12,110 American",RF,ITM,1586,,-1.58517742812891,0.15942631807755364,
transfer,2024,"12,110 American",RF,deep ITM,3707,,-0.6650955930463209,0.17383663514656952,
transfer,13,held out,Dynamic ET,all,893,10.0,0.5531506422778805,0.08211115422636935,"{'tau': 0.95, 'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,13,held out,Dynamic ET,OTM,274,10.0,0.6640619133709311,0.07252594209785242,
transfer,13,held out,Dynamic ET,ATM,300,10.0,0.6356807340853129,0.062054348453454734,
transfer,13,held out,Dynamic ET,ITM,305,10.0,0.4422834977587464,0.1101323788465471,
transfer,13,2017 European,Dynamic ET,all,1700,10.0,-0.40528682648600256,0.13004814740534504,"{'tau': 0.95, 'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,13,2017 European,Dynamic ET,OTM,412,10.0,0.08223855556770188,0.107920993900357,
transfer,13,2017 European,Dynamic ET,ATM,772,10.0,-0.9013704790956925,0.13749818285108528,
transfer,13,2017 European,Dynamic ET,ITM,494,10.0,-0.3900455335371431,0.1366622173169914,
transfer,13,"12,110 American",Dynamic ET,all,11563,10.0,-0.1490319429318927,0.14477661900675337,"{'tau': 0.95, 'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,13,"12,110 American",Dynamic ET,deep OTM,2524,10.0,0.028538534918396308,0.1395209183248552,
transfer,13,"12,110 American",Dynamic ET,OTM,1812,10.0,-0.18242557505237067,0.12703847812731436,
transfer,13,"12,110 American",Dynamic ET,ATM,1934,10.0,-0.553796233940155,0.12408218579247197,
transfer,13,"12,110 American",Dynamic ET,ITM,1586,10.0,-0.3211173945864134,0.12772952443347996,
transfer,13,"12,110 American",Dynamic ET,deep ITM,3707,10.0,-0.6071099483958313,0.17511560622668504,
transfer,13,held out,ET-aug,all,893,,0.5848067841870548,0.07912041532813127,"{'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,13,held out,ET-aug,OTM,274,,0.6958228089655718,0.06967750280350327,
transfer,13,held out,ET-aug,ATM,300,,0.6569534503332697,0.059489157078397796,
transfer,13,held out,ET-aug,ITM,305,,0.48007298937141274,0.10660245100809061,
transfer,13,2017 European,ET-aug,all,1700,,-0.46691787876072066,0.13201628569433269,"{'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,13,2017 European,ET-aug,OTM,412,,0.06394370967419039,0.10843453190128607,
transfer,13,2017 European,ET-aug,ATM,772,,-1.0213344791245924,0.14061794885150666,
transfer,13,2017 European,ET-aug,ITM,494,,-0.42866836639166617,0.13812833779407604,
transfer,13,"12,110 American",ET-aug,all,11563,,-0.1783449840094582,0.14633217877558874,"{'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 2}"
transfer,13,"12,110 American",ET-aug,deep OTM,2524,,0.009023520741210156,0.14098920740237508,
transfer,13,"12,110 American",ET-aug,OTM,1812,,-0.24369302793785552,0.12930024522282133,
transfer,13,"12,110 American",ET-aug,ATM,1934,,-0.6708386942964129,0.12878133397174288,
transfer,13,"12,110 American",ET-aug,ITM,1586,,-0.3809829459449916,0.1309717471642051,
transfer,13,"12,110 American",ET-aug,deep ITM,3707,,-0.6101066350191962,0.17402370878095644,
transfer,13,held out,ET,all,893,,0.6397867043639176,0.07219345917764527,"{'max_features': 0.85, 'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 5}"
transfer,13,held out,ET,OTM,274,,0.7264460447626497,0.06201275394971323,
transfer,13,held out,ET,ATM,300,,0.7276586947483252,0.05419349588012107,
transfer,13,held out,ET,ITM,305,,0.5421452040013002,0.09812462054671521,
transfer,13,2017 European,ET,all,1700,,-0.509660488032234,0.1322132165996391,"{'max_features': 0.85, 'min_samples_leaf': 1, 'max_depth': 24, 'min_samples_split': 5}"
