seed,dataset,model,region,n,M,r2,mae
7,2017 European,Dynamic ET,all,1700,8,-0.36319774005389127,0.12657125844117637
7,2017 European,Dynamic ET,OTM,412,8,0.13817948498175991,0.10298663356796103
7,2017 European,Dynamic ET,ATM,772,8,-0.869304804484887,0.13351727680051814
7,2017 European,Dynamic ET,ITM,494,8,-0.34523843806410826,0.13513394842105236
7,2017 European,ET-aug,all,1700,8,-0.48173263709187886,0.12950194354705874
7,2017 European,ET-aug,OTM,412,8,0.09030061744027307,0.10365860599514552
7,2017 European,ET-aug,ATM,772,8,-1.0982708602725522,0.1383620822927461
7,2017 European,ET-aug,ITM,494,8,-0.4133396422619757,0.13721220720647753
7,2017 European,ET,all,1700,8,-0.568809342954198,0.13295166481176457
7,2017 European,ET,OTM,412,8,0.002633887743690333,0.10516627162621352
7,2017 European,ET,ATM,772,8,-1.149091589975673,0.13982338167098435
7,2017 European,ET,ITM,494,8,-0.5486415835707721,0.14521702888663943
7,2017 European,RF,all,1700,8,-0.6452000431563127,0.13506292637477213
7,2017 European,RF,OTM,412,8,-0.09570897137984358,0.10678748244369012
7,2017 European,RF,ATM,772,8,-1.154554316383372,0.14009850677595054
7,2017 European,RF,ITM,494,8,-0.7027263550534617,0.15127732381069464
7,"12,110 American",Dynamic ET,all,11563,8,-0.11264165768860934,0.14190300853480922
7,"12,110 American",Dynamic ET,deep OTM,2524,8,0.08324693591428034,0.13493968557488112
7,"12,110 American",Dynamic ET,OTM,1812,8,-0.16418809895811814,0.12681049089348786
7,"12,110 American",Dynamic ET,ATM,1934,8,-0.733198663846397,0.12678590056980363
7,"12,110 American",Dynamic ET,ITM,1586,8,-0.3329156313674324,0.12853404008511973
7,"12,110 American",Dynamic ET,deep ITM,3707,8,-0.4848234238732254,0.1676280530134877
7,"12,110 American",ET-aug,all,11563,8,-0.19357876015099507,0.14587750996142868
7,"12,110 American",ET-aug,deep OTM,2524,8,0.05555037206266811,0.13717150930071312
7,"12,110 American",ET-aug,OTM,1812,8,-0.33065581891386886,0.13334698327207514
7,"12,110 American",ET-aug,ATM,1934,8,-1.0869883744770048,0.13663748232368167
7,"12,110 American",ET-aug,ITM,1586,8,-0.47767158398269305,0.1351771650989911
7,"12,110 American",ET-aug,deep ITM,3707,8,-0.5109822347081963,0.16732887776072283
7,"12,110 American",ET,all,11563,8,-0.23073034571287576,0.148243613955202
7,"12,110 American",ET,deep OTM,2524,8,0.020903282003701062,0.1400464143815372
7,"12,110 American",ET,OTM,1812,8,-0.47690612074574434,0.1388626264001105
7,"12,110 American",ET,ATM,1934,8,-1.2172105526916668,0.1408774697755949
7,"12,110 American",ET,ITM,1586,8,-0.6261723960907619,0.14060487701954597
7,"12,110 American",ET,deep ITM,3707,8,-0.46569722513382983,0.16552153162368496
7,"12,110 American",RF,all,11563,8,-0.5995628160531181,0.16204963704521183
